BenchmarkJSON/StringEnums/UnmarshalFresh     1546	    228505 ns/op	  96.99 MB/s	    227933 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1326	    263894 ns/op	  83.98 MB/s	    264523 cpu-ns/op	   51358 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1569	    226993 ns/op	  97.64 MB/s	    227711 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1552	    219371 ns/op	 101.03 MB/s	    219821 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1592	    219950 ns/op	 100.76 MB/s	    220628 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1669	    210857 ns/op	 105.11 MB/s	    211342 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1662	    217075 ns/op	 102.10 MB/s	    217542 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1560	    219337 ns/op	 101.05 MB/s	    219778 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1634	    213497 ns/op	 103.81 MB/s	    214042 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1465	    226181 ns/op	  97.99 MB/s	    226840 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1030	    337938 ns/op	  85.49 MB/s	    338605 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1086	    377776 ns/op	  76.48 MB/s	    378872 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1070	    359869 ns/op	  80.28 MB/s	    360134 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      952	    361764 ns/op	  79.86 MB/s	    363918 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      847	    401873 ns/op	  71.89 MB/s	    402877 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      973	    360441 ns/op	  80.15 MB/s	    361273 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1088	    376546 ns/op	  76.73 MB/s	    377175 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      949	    349518 ns/op	  82.66 MB/s	    350360 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1057	    367217 ns/op	  78.68 MB/s	    368182 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      805	    372738 ns/op	  77.51 MB/s	    374007 cpu-ns/op	   80754 B/op	    1034 allocs/op
