BenchmarkJSON/StringEnums/UnmarshalFresh     1652	    219502 ns/op	 100.97 MB/s	    219955 cpu-ns/op	   43165 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1648	    198063 ns/op	 111.90 MB/s	    198516 cpu-ns/op	   43165 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1561	    203562 ns/op	 108.88 MB/s	    203609 cpu-ns/op	   43165 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1778	    198498 ns/op	 111.65 MB/s	    198967 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1806	    208773 ns/op	 106.16 MB/s	    209207 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1600	    210763 ns/op	 105.16 MB/s	    211244 cpu-ns/op	   43165 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1534	    212581 ns/op	 104.26 MB/s	    213066 cpu-ns/op	   43165 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1714	    200091 ns/op	 110.76 MB/s	    200704 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1861	    193821 ns/op	 114.35 MB/s	    194271 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1730	    198903 ns/op	 111.43 MB/s	    199294 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      922	    385475 ns/op	  74.95 MB/s	    386357 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      987	    359763 ns/op	  80.31 MB/s	    361658 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      926	    366110 ns/op	  78.91 MB/s	    366766 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1098	    348249 ns/op	  82.96 MB/s	    350008 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1088	    361906 ns/op	  79.83 MB/s	    362964 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1119	    366269 ns/op	  78.88 MB/s	    367398 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      802	   1058588 ns/op	  27.29 MB/s	   1060857 cpu-ns/op	   80754 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      934	    365193 ns/op	  79.11 MB/s	    366499 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1083	    336708 ns/op	  85.80 MB/s	    337452 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1010	    361017 ns/op	  80.03 MB/s	    361898 cpu-ns/op	   80752 B/op	    1034 allocs/op
