BenchmarkJSON/StringEnums/Unmarshal      478	   1065709 ns/op	  20.80 MB/s	   1069287 cpu-ns/op	    8203 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1450	    211813 ns/op	 104.63 MB/s	    212388 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal      548	    686330 ns/op	  32.29 MB/s	    689250 cpu-ns/op	    8202 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal      408	   1102074 ns/op	  20.11 MB/s	   1106076 cpu-ns/op	    8205 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1508	    307109 ns/op	  72.17 MB/s	    307814 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1375	    262256 ns/op	  84.51 MB/s	    263298 cpu-ns/op	    8196 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1236	    267340 ns/op	  82.90 MB/s	    262788 cpu-ns/op	    8196 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal      570	    559336 ns/op	  39.62 MB/s	    550819 cpu-ns/op	    8201 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1687	    212832 ns/op	 104.13 MB/s	    213396 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1936	    212624 ns/op	 104.24 MB/s	    213967 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/Records/Unmarshal     1326	    297268 ns/op	  97.19 MB/s	    298023 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      757	    445385 ns/op	  64.87 MB/s	    448431 cpu-ns/op	    3303 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1071	    341982 ns/op	  84.48 MB/s	    343150 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1200	    281450 ns/op	 102.65 MB/s	    281830 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1405	    268973 ns/op	 107.41 MB/s	    268806 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1274	    269041 ns/op	 107.39 MB/s	    269767 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1358	    285565 ns/op	 101.17 MB/s	    286085 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1039	    301666 ns/op	  95.77 MB/s	    302303 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1382	    267698 ns/op	 107.92 MB/s	    268278 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1276	    282581 ns/op	 102.24 MB/s	    283199 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1046	    317262 ns/op	 145.94 MB/s	    318095 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1245	    314466 ns/op	 147.23 MB/s	    315411 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1206	    302672 ns/op	 152.97 MB/s	    303426 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1159	    307723 ns/op	 150.46 MB/s	    309051 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1176	    315746 ns/op	 146.64 MB/s	    316702 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1045	    346578 ns/op	 133.59 MB/s	    347466 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1160	    324200 ns/op	 142.81 MB/s	    325485 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal      909	    375220 ns/op	 123.39 MB/s	    376372 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1252	    295261 ns/op	 156.81 MB/s	    295770 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1234	    300771 ns/op	 153.94 MB/s	    301697 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Small/Unmarshal   346460	      1460 ns/op	  45.90 MB/s	      1464 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   315122	       987.9 ns/op	  67.82 MB/s	       988.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   369690	       889.9 ns/op	  75.29 MB/s	       893.1 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   377478	       894.6 ns/op	  74.90 MB/s	       898.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   343183	       965.8 ns/op	  69.37 MB/s	       970.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   331892	       948.5 ns/op	  70.63 MB/s	       953.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   378625	       957.3 ns/op	  69.99 MB/s	       962.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   417468	       902.2 ns/op	  74.27 MB/s	       903.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   415036	       925.5 ns/op	  72.39 MB/s	       929.1 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   422983	       891.1 ns/op	  75.18 MB/s	       894.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1281358	       275.8 ns/op	  36.26 MB/s	       276.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2383437	       141.4 ns/op	  70.72 MB/s	       142.0 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2277736	       146.6 ns/op	  68.20 MB/s	       147.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2539197	       138.9 ns/op	  71.99 MB/s	       139.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1430218	       257.6 ns/op	  38.82 MB/s	       258.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2696954	       141.3 ns/op	  70.78 MB/s	       141.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2439758	       150.1 ns/op	  66.61 MB/s	       150.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2567841	       140.3 ns/op	  71.28 MB/s	       142.2 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2584534	       135.2 ns/op	  73.97 MB/s	       135.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2585329	       136.6 ns/op	  73.19 MB/s	       137.0 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      124	   2933213 ns/op	 215.30 MB/s	   2943403 cpu-ns/op	  209358 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      124	   2829924 ns/op	 223.16 MB/s	   2838218 cpu-ns/op	  209359 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2899630 ns/op	 217.79 MB/s	   2904817 cpu-ns/op	  209355 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      124	   2849486 ns/op	 221.62 MB/s	   2856048 cpu-ns/op	  209359 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       79	   4450418 ns/op	 141.90 MB/s	   4461924 cpu-ns/op	  209392 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      132	   2957843 ns/op	 213.50 MB/s	   2969917 cpu-ns/op	  209356 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2893867 ns/op	 218.22 MB/s	   2889349 cpu-ns/op	  209358 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      135	   2617388 ns/op	 241.28 MB/s	   2624141 cpu-ns/op	  209355 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3058014 ns/op	 206.51 MB/s	   3063260 cpu-ns/op	  209370 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      129	   2747478 ns/op	 229.85 MB/s	   2754333 cpu-ns/op	  209354 B/op	    2530 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  15218492 ns/op	 127.51 MB/s	  15252500 cpu-ns/op	  390300 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  16106744 ns/op	 120.48 MB/s	  16138458 cpu-ns/op	  390300 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  15817934 ns/op	 122.68 MB/s	  15873524 cpu-ns/op	  390341 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  15388972 ns/op	 126.09 MB/s	  15403810 cpu-ns/op	  390341 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  15815927 ns/op	 122.69 MB/s	  15860583 cpu-ns/op	  390300 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  14841110 ns/op	 130.75 MB/s	  14877409 cpu-ns/op	  390327 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  15253696 ns/op	 127.21 MB/s	  15286545 cpu-ns/op	  390326 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       20	  15158979 ns/op	 128.01 MB/s	  15197150 cpu-ns/op	  390358 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  14903058 ns/op	 130.21 MB/s	  14941682 cpu-ns/op	  390326 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  15529092 ns/op	 124.96 MB/s	  15568864 cpu-ns/op	  390326 B/op	   11708 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8575	     38667 ns/op	 468.72 MB/s	     38763 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9158	     39919 ns/op	 454.02 MB/s	     40149 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9565	     39602 ns/op	 457.65 MB/s	     39721 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     6706	     46839 ns/op	 386.94 MB/s	     47025 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9535	     38514 ns/op	 470.59 MB/s	     38628 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9086	     38965 ns/op	 465.14 MB/s	     39041 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7742	     38823 ns/op	 466.84 MB/s	     38926 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7700	     44434 ns/op	 407.89 MB/s	     44640 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     1330	    237876 ns/op	  76.19 MB/s	    241894 cpu-ns/op	   15478 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     5967	     53647 ns/op	 337.84 MB/s	     53876 cpu-ns/op	   15473 B/op	      49 allocs/op
