BenchmarkJSON/StringEnums/Unmarshal     1707	    368414 ns/op	  60.16 MB/s	    422216 cpu-ns/op	       3 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1722	    218754 ns/op	 101.31 MB/s	    221466 cpu-ns/op	       3 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1092	    292349 ns/op	  75.81 MB/s	    290886 cpu-ns/op	       4 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     2038	    179328 ns/op	 123.59 MB/s	    180109 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal      835	    380835 ns/op	  58.20 MB/s	    381787 cpu-ns/op	       6 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal      486	    817150 ns/op	  27.12 MB/s	    829247 cpu-ns/op	      11 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal      448	   1199819 ns/op	  18.47 MB/s	   1219672 cpu-ns/op	      12 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1892	    190120 ns/op	 116.57 MB/s	    190826 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1432	    252165 ns/op	  87.89 MB/s	    253361 cpu-ns/op	       3 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1550	    227883 ns/op	  97.26 MB/s	    228675 cpu-ns/op	       3 B/op	       0 allocs/op
BenchmarkJSON/Records/Unmarshal     1267	    331978 ns/op	  87.03 MB/s	    333194 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1093	    341396 ns/op	  84.63 MB/s	    342525 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1357	    359137 ns/op	  80.45 MB/s	    360271 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1152	    276882 ns/op	 104.34 MB/s	    277559 cpu-ns/op	    3300 B/op	     256 allocs/op
