BenchmarkJSON/UTF8Greek/Marshal    54022	      6608 ns/op	1085.09 MB/s	      6631 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    57536	      6388 ns/op	1122.45 MB/s	      6409 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    57810	      6965 ns/op	1029.50 MB/s	      6994 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    58212	      6116 ns/op	1172.38 MB/s	      6147 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    60513	      6223 ns/op	1152.13 MB/s	      6246 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    56462	      6145 ns/op	1166.88 MB/s	      6167 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    47726	      6290 ns/op	1139.83 MB/s	      6320 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    44884	      7417 ns/op	 966.75 MB/s	      7437 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    55230	      6213 ns/op	1154.05 MB/s	      6249 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    57297	      6753 ns/op	1061.81 MB/s	      6784 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    33472	     11314 ns/op	 633.74 MB/s	     11381 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    33440	     11439 ns/op	 626.78 MB/s	     11452 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    34364	     10906 ns/op	 657.42 MB/s	     10951 cpu-ns/op	    8192 B/op	       1 allocs/op
