BenchmarkJSON/UTF8Greek/Marshal    74962	      4824 ns/op	1486.31 MB/s	      4851 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    69162	      4930 ns/op	1454.25 MB/s	      4954 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    67996	      4840 ns/op	1481.49 MB/s	      4869 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    67786	      5340 ns/op	1342.75 MB/s	      5366 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    69854	      5029 ns/op	1425.79 MB/s	      5050 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    74068	      4655 ns/op	1540.29 MB/s	      4672 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    68127	      4980 ns/op	1439.66 MB/s	      5029 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    70148	      4835 ns/op	1483.04 MB/s	      4852 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    70758	      4802 ns/op	1493.18 MB/s	      4821 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    62084	      4866 ns/op	1473.56 MB/s	      4886 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    41185	      8145 ns/op	 880.25 MB/s	      8180 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    42544	      8073 ns/op	 888.14 MB/s	      8106 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    44116	      7996 ns/op	 896.75 MB/s	      8023 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    43104	      8677 ns/op	 826.34 MB/s	      8728 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    40225	      8642 ns/op	 829.63 MB/s	      8724 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    39765	      9549 ns/op	 750.85 MB/s	      9585 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    36572	      9843 ns/op	 728.41 MB/s	      9886 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    30264	     12399 ns/op	 578.28 MB/s	     12459 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    28131	     11204 ns/op	 639.94 MB/s	     11136 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    29746	     10879 ns/op	 659.04 MB/s	     10924 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    65294	      5482 ns/op	1541.53 MB/s	      5508 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    57386	      6327 ns/op	1335.62 MB/s	      6325 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    48480	      7353 ns/op	1149.16 MB/s	      7377 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    38319	      8025 ns/op	1052.95 MB/s	      8075 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    47220	      7980 ns/op	1058.86 MB/s	      8015 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    30474	     11716 ns/op	 721.22 MB/s	     11766 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    38876	      8395 ns/op	1006.61 MB/s	      8442 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    48051	      7106 ns/op	1189.12 MB/s	      7152 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    50114	      7109 ns/op	1188.69 MB/s	      7149 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    63951	      5575 ns/op	1515.57 MB/s	      5617 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    33694	     10125 ns/op	 834.58 MB/s	     10164 cpu-ns/op	    9472 B/op	       1 allocs/op
