comparison,case,op,repeat,binary,n,Ir,Bc,Bcm,Bi,Bim
whitespace-counts,Small,Unmarshal,0,before,200,10046.165,1711.355,88.005,12.01,4.04
whitespace-counts,Small,Unmarshal,0,whitespace,200,9749.165,1552.355,83.39,12.01,4.04
whitespace-counts,Small,Unmarshal,1,whitespace,200,9749.165,1552.355,83.39,12.01,4.04
whitespace-counts,Small,Unmarshal,1,before,200,10046.165,1711.355,88.005,12.01,4.04
whitespace-counts,Small,Unmarshal,2,before,200,10046.165,1711.355,88.005,12.01,4.04
whitespace-counts,Small,Unmarshal,2,whitespace,200,9749.165,1552.355,83.39,12.01,4.04
whitespace-counts,Records,Unmarshal,0,before,3,3324626.0,544997.3333333334,21096.0,2566.3333333333335,1794.6666666666667
whitespace-counts,Records,Unmarshal,0,whitespace,3,3218581.0,488916.3333333333,16819.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,Records,Unmarshal,1,whitespace,3,3218581.0,488916.3333333333,16819.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,Records,Unmarshal,1,before,3,3324578.0,544989.3333333334,21094.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,Records,Unmarshal,2,before,3,3324578.0,544989.3333333334,21094.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,Records,Unmarshal,2,whitespace,3,3218581.0,488916.3333333333,16819.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,RecordsPretty,Unmarshal,0,before,3,3587135.0,633031.3333333334,31728.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,RecordsPretty,Unmarshal,0,whitespace,3,3523891.0,593338.3333333334,23228.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,RecordsPretty,Unmarshal,1,whitespace,3,3523891.0,593338.3333333334,23228.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,RecordsPretty,Unmarshal,1,before,3,3587135.0,633031.3333333334,31728.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,RecordsPretty,Unmarshal,2,before,3,3587135.0,633031.3333333334,31728.333333333332,2566.3333333333335,1794.6666666666667
whitespace-counts,RecordsPretty,Unmarshal,2,whitespace,3,3523915.0,593342.3333333334,23229.0,2566.3333333333335,1794.6666666666667
whitespace-counts,ASCII8,Unmarshal,0,before,200,1745.165,287.355,7.87,5.01,0.035
whitespace-counts,ASCII8,Unmarshal,0,whitespace,200,1727.165,278.355,4.93,5.01,0.035
whitespace-counts,ASCII8,Unmarshal,1,whitespace,200,1727.165,278.355,4.93,5.01,0.035
whitespace-counts,ASCII8,Unmarshal,1,before,200,1745.165,287.355,7.87,5.01,0.035
whitespace-counts,ASCII8,Unmarshal,2,before,200,1745.165,287.355,7.87,5.01,0.035
whitespace-counts,ASCII8,Unmarshal,2,whitespace,200,1727.165,278.355,4.93,5.01,0.035
whitespace-counts,GolangSource,Unmarshal,0,before,3,173075651.0,31659010.333333332,869449.0,112588.0,69142.0
whitespace-counts,GolangSource,Unmarshal,0,whitespace,3,167983309.33333334,29010295.0,689945.0,112588.66666666667,69142.33333333333
whitespace-counts,GolangSource,Unmarshal,1,whitespace,3,167982992.66666666,29010250.0,689966.3333333334,112587.0,69142.0
whitespace-counts,GolangSource,Unmarshal,1,before,3,173072664.66666666,31658643.666666668,869331.6666666666,112585.33333333333,69140.33333333333
whitespace-counts,GolangSource,Unmarshal,2,before,3,173076579.66666666,31659140.666666668,869434.0,112588.0,69142.0
whitespace-counts,GolangSource,Unmarshal,2,whitespace,3,167981245.0,29009979.333333332,689868.0,112585.0,69140.0
whitespace-counts,TwitterStatus,Unmarshal,0,before,3,27406831.0,4659584.0,208506.0,16601.0,7503.333333333333
whitespace-counts,TwitterStatus,Unmarshal,0,whitespace,3,27258392.333333332,4536182.0,170501.0,16600.666666666668,7503.0
whitespace-counts,TwitterStatus,Unmarshal,1,whitespace,3,27259241.666666668,4536445.333333333,170379.0,16600.666666666668,7503.0
whitespace-counts,TwitterStatus,Unmarshal,1,before,3,27406452.0,4659495.666666667,208477.66666666666,16602.666666666668,7503.666666666667
whitespace-counts,TwitterStatus,Unmarshal,2,before,3,27426344.333333332,4661768.333333333,209401.33333333334,16600.666666666668,7503.0
whitespace-counts,TwitterStatus,Unmarshal,2,whitespace,3,27246937.666666668,4535507.333333333,169182.0,16600.666666666668,7503.0
whitespace-counts,CanadaGeometry,Unmarshal,0,before,3,29610807.0,6145841.333333333,229269.66666666666,21956.666666666668,971.6666666666666
whitespace-counts,CanadaGeometry,Unmarshal,0,whitespace,3,29084692.0,5816467.333333333,215634.0,21956.666666666668,971.6666666666666
whitespace-counts,CanadaGeometry,Unmarshal,1,whitespace,3,29084722.0,5816473.333333333,215636.33333333334,21956.666666666668,971.6666666666666
whitespace-counts,CanadaGeometry,Unmarshal,1,before,3,29610941.0,6145867.666666667,229280.33333333334,21956.666666666668,971.6666666666666
whitespace-counts,CanadaGeometry,Unmarshal,2,before,3,29610807.0,6145841.333333333,229269.66666666666,21956.666666666668,971.6666666666666
whitespace-counts,CanadaGeometry,Unmarshal,2,whitespace,3,29084692.0,5816467.333333333,215634.0,21956.666666666668,971.6666666666666
cache-counts,StringEnums,Unmarshal,0,before,3,2402291.6666666665,361281.3333333333,6987.666666666667,1543.0,515.3333333333334
cache-counts,StringEnums,Unmarshal,0,cache,3,2240582.0,330727.3333333333,7568.666666666667,1541.6666666666667,514.6666666666666
cache-counts,StringEnums,Unmarshal,1,cache,3,2240606.0,330731.3333333333,7570.333333333333,1541.6666666666667,514.6666666666666
cache-counts,StringEnums,Unmarshal,1,before,3,2402315.6666666665,361285.3333333333,6989.333333333333,1543.0,515.3333333333334
cache-counts,StringEnums,Unmarshal,2,before,3,2403827.6666666665,361793.3333333333,6991.0,1543.0,515.3333333333334
cache-counts,StringEnums,Unmarshal,2,cache,3,2242118.0,331239.3333333333,7825.333333333333,1541.6666666666667,514.6666666666666
cache-counts,Records,Unmarshal,0,before,3,3218885.0,488958.0,16994.333333333332,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,0,cache,3,3217960.0,489060.0,17266.0,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,1,cache,3,3217936.0,489056.0,17265.666666666668,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,1,before,3,3218861.0,488954.0,16994.0,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,2,before,3,3218861.0,488954.0,16994.0,2566.3333333333335,1794.6666666666667
cache-counts,Records,Unmarshal,2,cache,3,3217767.0,489032.3333333333,17261.666666666668,2566.3333333333335,1794.6666666666667
cache-counts,Small,Unmarshal,0,before,200,9755.165,1553.355,81.375,12.01,4.04
cache-counts,Small,Unmarshal,0,cache,200,9755.165,1553.355,81.375,12.01,4.04
cache-counts,Small,Unmarshal,1,cache,200,9761.165,1555.355,82.395,12.01,4.04
cache-counts,Small,Unmarshal,1,before,200,9755.165,1553.355,81.375,12.01,4.04
