comparison,case,before_Ir,after_Ir,delta_percent,before_min,before_max,after_min,after_max
whitespace-counts,ASCII8,1745.165,1727.165,-1.0314210977185545,1745.165,1745.165,1727.165,1727.165
whitespace-counts,CanadaGeometry,29610807.0,29084692.0,-1.776766840566013,29610807.0,29610941.0,29084692.0,29084722.0
whitespace-counts,GolangSource,173075651.0,167982992.66666666,-2.942446441142288,173072664.66666666,173076579.66666666,167981245.0,167983309.33333334
whitespace-counts,Records,3324578.0,3218581.0,-3.1882843476675804,3324578.0,3324626.0,3218581.0,3218581.0
whitespace-counts,RecordsPretty,3587135.0,3523891.0,-1.763078334102286,3587135.0,3587135.0,3523891.0,3523915.0
whitespace-counts,Small,10046.165,9749.165,-2.956352000987439,10046.165,10046.165,9749.165,9749.165
whitespace-counts,TwitterStatus,27406831.0,27258392.333333332,-0.5416119312249834,27406452.0,27426344.333333332,27246937.666666668,27259241.666666668
cache-counts,ASCII8,1733.165,1722.165,-0.6346770215184372,1733.165,1733.165,1722.165,1722.165
cache-counts,GolangSource,167983730.0,167975645.66666666,-0.004812569249024179,167983532.0,167983982.33333334,167975211.33333334,167976793.0
cache-counts,Records,3218861.0,3217936.0,-0.02873687307404227,3218861.0,3218885.0,3217767.0,3217960.0
cache-counts,Small,9755.165,9755.165,0.0,9755.165,9779.165,9755.165,9761.165
cache-counts,StringEnums,2402315.6666666665,2240606.0,-6.73140790406811,2402291.6666666665,2403827.6666666665,2240582.0,2242118.0
cache-counts,TwitterStatus,27262099.666666668,27266562.666666668,0.016370712654456554,27251383.666666668,27274641.0,27260792.666666668,27281764.0
cache-fresh-counts,StringEnums,2415141.6666666665,2256022.6666666665,-6.588391985287267,2413784.3333333335,2417717.3333333335,2255955.0,2256103.3333333335
fallback-counts,StringUnicode,324975.6666666667,325815.6666666667,0.2584808913898229,324947.6666666667,324991.6666666667,325618.6666666667,325843.6666666667
fallback-counts,UTF8CJK,88340.535,87886.58,-0.5138694258530419,88000.89,88399.5,87882.435,88030.95
fallback-counts,UTF8Mixed,102781.01,102802.13,0.02054854296529296,102747.425,103298.815,102757.645,103189.51
