BenchmarkJSON/StringEnums/UnmarshalFresh     1598	    303693 ns/op	  72.98 MB/s	    305406 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1670	    241812 ns/op	  91.65 MB/s	    243434 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1796	    295139 ns/op	  75.09 MB/s	    267772 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh      990	    328841 ns/op	  67.40 MB/s	    330400 cpu-ns/op	   51359 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1149	    469643 ns/op	  47.19 MB/s	    553473 cpu-ns/op	   51358 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1722	    207572 ns/op	 106.77 MB/s	    208016 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1502	    269212 ns/op	  82.33 MB/s	    269118 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1574	    220046 ns/op	 100.72 MB/s	    220774 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1705	    207306 ns/op	 106.91 MB/s	    207879 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1732	    199287 ns/op	 111.21 MB/s	    199727 cpu-ns/op	   51357 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      997	    337140 ns/op	  85.69 MB/s	    338999 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      915	    349982 ns/op	  82.55 MB/s	    351187 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1062	    444277 ns/op	  65.03 MB/s	    447586 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      946	    391144 ns/op	  73.86 MB/s	    392325 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      592	    513016 ns/op	  56.32 MB/s	    515821 cpu-ns/op	   80756 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      913	    356186 ns/op	  81.11 MB/s	    357171 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      976	    346933 ns/op	  83.28 MB/s	    347541 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1056	    341803 ns/op	  84.53 MB/s	    342802 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      979	    366558 ns/op	  78.82 MB/s	    367765 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      986	    360249 ns/op	  80.20 MB/s	    361095 cpu-ns/op	   80753 B/op	    1034 allocs/op
