BenchmarkJSON/StringEnums/UnmarshalFresh     1926	    194313 ns/op	 114.06 MB/s	    196417 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1879	    196117 ns/op	 113.01 MB/s	    197343 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1032	    292696 ns/op	  75.72 MB/s	    296547 cpu-ns/op	   43166 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1101	    276064 ns/op	  80.28 MB/s	    302995 cpu-ns/op	   43166 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1863	    197394 ns/op	 112.28 MB/s	    197773 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1822	    192472 ns/op	 115.15 MB/s	    192890 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh      916	    336035 ns/op	  65.95 MB/s	    337279 cpu-ns/op	   43167 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1860	    182923 ns/op	 121.16 MB/s	    183014 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1737	    187456 ns/op	 118.23 MB/s	    187564 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/StringEnums/UnmarshalFresh     1796	    196814 ns/op	 112.61 MB/s	    197271 cpu-ns/op	   43164 B/op	      10 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1066	    433244 ns/op	  66.69 MB/s	    435058 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1041	    343453 ns/op	  84.12 MB/s	    344271 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1034	    334385 ns/op	  86.40 MB/s	    335376 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      898	    385127 ns/op	  75.02 MB/s	    386365 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      838	    394669 ns/op	  73.20 MB/s	    395912 cpu-ns/op	   80754 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1014	    347506 ns/op	  83.14 MB/s	    347409 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      913	    350027 ns/op	  82.54 MB/s	    350984 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1003	    388067 ns/op	  74.45 MB/s	    387907 cpu-ns/op	   80752 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh      850	    357142 ns/op	  80.90 MB/s	    355979 cpu-ns/op	   80753 B/op	    1034 allocs/op
BenchmarkJSON/Records/UnmarshalFresh     1087	    426592 ns/op	  67.73 MB/s	    425263 cpu-ns/op	   80752 B/op	    1034 allocs/op
