BenchmarkJSON/StringEnums/Unmarshal     1903	    193030 ns/op	 114.82 MB/s	    193608 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1778	    212973 ns/op	 104.07 MB/s	    211820 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1762	    244623 ns/op	  90.60 MB/s	    246052 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1741	    254127 ns/op	  87.21 MB/s	    254715 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1689	    207739 ns/op	 106.69 MB/s	    208238 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1820	    246156 ns/op	  90.04 MB/s	    247987 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1540	    201490 ns/op	 110.00 MB/s	    202342 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1856	    218280 ns/op	 101.53 MB/s	    221959 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1704	    218293 ns/op	 101.53 MB/s	    218937 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1779	    204168 ns/op	 108.55 MB/s	    204748 cpu-ns/op	    8195 B/op	    1024 allocs/op
BenchmarkJSON/Records/Unmarshal     1416	    291050 ns/op	  99.26 MB/s	    292451 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1225	    264369 ns/op	 109.28 MB/s	    265103 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1327	    267842 ns/op	 107.87 MB/s	    268624 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1408	    274640 ns/op	 105.20 MB/s	    274279 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1419	    259651 ns/op	 111.27 MB/s	    258357 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1369	    310513 ns/op	  93.04 MB/s	    310695 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1375	    276939 ns/op	 104.32 MB/s	    277799 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1150	    265867 ns/op	 108.67 MB/s	    266519 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1278	    261309 ns/op	 110.56 MB/s	    261981 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      754	    476139 ns/op	  60.68 MB/s	    477126 cpu-ns/op	    3303 B/op	     256 allocs/op
BenchmarkJSON/Small/Unmarshal   222283	      1626 ns/op	  41.21 MB/s	      1627 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   413371	      1011 ns/op	  66.25 MB/s	      1014 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   420210	       837.7 ns/op	  79.98 MB/s	       840.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   352538	       997.4 ns/op	  67.17 MB/s	       999.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   400267	       892.0 ns/op	  75.11 MB/s	       889.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   426818	       874.0 ns/op	  76.66 MB/s	       877.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   420507	       843.2 ns/op	  79.46 MB/s	       845.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   360594	       854.9 ns/op	  78.37 MB/s	       858.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   409168	       903.0 ns/op	  74.20 MB/s	       907.0 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   421531	       888.5 ns/op	  75.41 MB/s	       892.2 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2469732	       137.1 ns/op	  72.96 MB/s	       137.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2516992	       137.4 ns/op	  72.81 MB/s	       137.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2729524	       135.2 ns/op	  73.96 MB/s	       135.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2736747	       133.7 ns/op	  74.82 MB/s	       133.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2532727	       138.1 ns/op	  72.42 MB/s	       138.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2621898	       135.2 ns/op	  73.98 MB/s	       135.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2678664	       135.5 ns/op	  73.81 MB/s	       136.0 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2711113	       134.8 ns/op	  74.21 MB/s	       135.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2696991	       136.7 ns/op	  73.17 MB/s	       137.1 cpu-ns/op	       0 B/op	       0 allocs/op
