BenchmarkJSON/StringEnums/Unmarshal     2162	    184736 ns/op	 119.97 MB/s	    185300 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     2100	    169914 ns/op	 130.44 MB/s	    171519 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     2162	    178324 ns/op	 124.29 MB/s	    181851 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1956	    174782 ns/op	 126.80 MB/s	    175256 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1934	    175142 ns/op	 126.54 MB/s	    175261 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     1963	    169104 ns/op	 131.06 MB/s	    169395 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     2054	    174068 ns/op	 127.32 MB/s	    174520 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     2163	    176316 ns/op	 125.70 MB/s	    177125 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     2082	    171360 ns/op	 129.34 MB/s	    171780 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/StringEnums/Unmarshal     2199	    168283 ns/op	 131.70 MB/s	    168200 cpu-ns/op	       2 B/op	       0 allocs/op
BenchmarkJSON/Records/Unmarshal     1389	    283295 ns/op	 101.98 MB/s	    283777 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1362	    271845 ns/op	 106.28 MB/s	    272648 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      816	    456361 ns/op	  63.31 MB/s	    452814 cpu-ns/op	    3302 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1363	    280199 ns/op	 103.11 MB/s	    280999 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1312	    281460 ns/op	 102.65 MB/s	    282270 cpu-ns/op	    3300 B/op	     256 allocs/op
