BenchmarkJSON/UTF8Greek/Marshal    49456	      6286 ns/op	1140.62 MB/s	      6322 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    58279	      6232 ns/op	1150.55 MB/s	      6265 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    55953	      6103 ns/op	1174.83 MB/s	      6145 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    53114	      6482 ns/op	1106.09 MB/s	      6545 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    52183	      6234 ns/op	1150.06 MB/s	      6271 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    38258	      8230 ns/op	 871.23 MB/s	      8272 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    56707	      6290 ns/op	1139.82 MB/s	      6304 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    57219	      6303 ns/op	1137.61 MB/s	      6323 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    49567	      6515 ns/op	1100.52 MB/s	      6557 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    46027	      6859 ns/op	1045.42 MB/s	      6866 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    30765	     10754 ns/op	 666.70 MB/s	     10797 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    32512	     10805 ns/op	 663.58 MB/s	     10847 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    30740	     11064 ns/op	 648.05 MB/s	     11125 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    28880	     11275 ns/op	 635.90 MB/s	     11338 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    31910	     10817 ns/op	 662.85 MB/s	     10812 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    31036	     10756 ns/op	 666.62 MB/s	     10800 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    31476	     11453 ns/op	 626.06 MB/s	     11589 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    34066	     10757 ns/op	 666.55 MB/s	     10797 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    34719	     10584 ns/op	 677.46 MB/s	     10625 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    14973	     25719 ns/op	 278.79 MB/s	     25821 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    48297	      7195 ns/op	1174.38 MB/s	      7230 cpu-ns/op	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Marshal    40269	      7672 ns/op	1101.47 MB/s	      7704 cpu-ns/op	    9472 B/op	       1 allocs/op
