BenchmarkJSON/UTF8Greek/Marshal    63379	      4741 ns/op	1512.19 MB/s	      4770 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    74790	      4720 ns/op	1519.06 MB/s	      4737 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    66769	      4882 ns/op	1468.63 MB/s	      4896 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    71016	      4664 ns/op	1537.18 MB/s	      4678 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    69380	      4990 ns/op	1437.00 MB/s	      5031 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    60021	      5112 ns/op	1402.50 MB/s	      5132 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    71527	      4914 ns/op	1459.20 MB/s	      4932 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    61530	      5679 ns/op	1262.62 MB/s	      5713 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    66973	      5175 ns/op	1385.64 MB/s	      5188 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Marshal    70803	      5933 ns/op	1208.49 MB/s	      5968 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    41554	      8405 ns/op	 853.03 MB/s	      8449 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    44962	      8167 ns/op	 877.95 MB/s	      8198 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    42690	      8391 ns/op	 854.50 MB/s	      8413 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    45404	      7871 ns/op	 910.89 MB/s	      7902 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    43588	      7954 ns/op	 901.42 MB/s	      8006 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    40209	      8294 ns/op	 864.45 MB/s	      8310 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    41871	      8288 ns/op	 865.14 MB/s	      8322 cpu-ns/op	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    37264	      8686 ns/op	 825.46 MB/s	      8717 cpu-ns/op	    8192 B/op	       1 allocs/op
