BenchmarkJSON/Small/Unmarshal   421069	       999.4 ns/op	  67.04 MB/s	      1002 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   446551	       853.8 ns/op	  78.48 MB/s	       857.0 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   428374	      1435 ns/op	  46.68 MB/s	      1443 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   378824	       896.1 ns/op	  74.77 MB/s	       899.2 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   415700	       861.3 ns/op	  77.79 MB/s	       865.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   411786	       874.3 ns/op	  76.63 MB/s	       877.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   395140	       889.1 ns/op	  75.36 MB/s	       892.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   402501	       904.7 ns/op	  74.06 MB/s	       909.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   402820	       868.8 ns/op	  77.12 MB/s	       872.2 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   421893	       866.7 ns/op	  77.31 MB/s	       869.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Records/Unmarshal     1362	    274291 ns/op	 105.33 MB/s	    274197 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1304	    277474 ns/op	 104.12 MB/s	    278199 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1345	    264620 ns/op	 109.18 MB/s	    265265 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      790	    508023 ns/op	  56.87 MB/s	    509377 cpu-ns/op	    3302 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1393	    286192 ns/op	 100.95 MB/s	    286912 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1398	    265734 ns/op	 108.72 MB/s	    265780 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1329	    267271 ns/op	 108.10 MB/s	    268729 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1383	    267641 ns/op	 107.95 MB/s	    267832 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1418	    273817 ns/op	 105.51 MB/s	    274427 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1364	    370688 ns/op	  77.94 MB/s	    371135 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1257	    297453 ns/op	 155.65 MB/s	    299367 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1260	    291299 ns/op	 158.94 MB/s	    292087 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1195	    298022 ns/op	 155.36 MB/s	    298813 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1123	    301948 ns/op	 153.34 MB/s	    302557 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1233	    296437 ns/op	 156.19 MB/s	    297103 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1272	    290422 ns/op	 159.42 MB/s	    289141 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1302	    289311 ns/op	 160.04 MB/s	    289965 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1264	    300776 ns/op	 153.94 MB/s	    301555 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1267	    293682 ns/op	 157.65 MB/s	    294080 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1309	    283664 ns/op	 163.22 MB/s	    284384 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14864818 ns/op	 130.54 MB/s	  14911333 cpu-ns/op	  390300 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       18	  21257653 ns/op	  91.28 MB/s	  19861778 cpu-ns/op	  390397 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  14947218 ns/op	 129.82 MB/s	  14603864 cpu-ns/op	  390326 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       20	  16404979 ns/op	 118.29 MB/s	  16624600 cpu-ns/op	  390359 B/op	   11708 allocs/op
