BenchmarkJSON/Small/Unmarshal   380490	       945.0 ns/op	  70.90 MB/s	       950.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   408345	       925.7 ns/op	  72.38 MB/s	       929.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   179931	      1926 ns/op	  34.80 MB/s	      1940 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   410992	       964.9 ns/op	  69.44 MB/s	       968.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   383553	       938.8 ns/op	  71.37 MB/s	       943.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   417243	       892.5 ns/op	  75.07 MB/s	       896.1 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   425337	       915.1 ns/op	  73.22 MB/s	       918.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   409312	       922.4 ns/op	  72.63 MB/s	       925.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   386970	       979.8 ns/op	  68.38 MB/s	       982.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   413030	       914.8 ns/op	  73.24 MB/s	       918.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Records/Unmarshal     1329	    270544 ns/op	 106.79 MB/s	    271229 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1339	    267758 ns/op	 107.90 MB/s	    268403 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1339	    268389 ns/op	 107.65 MB/s	    269091 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1406	    275714 ns/op	 104.79 MB/s	    276472 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1286	    278988 ns/op	 103.56 MB/s	    279760 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1354	    270415 ns/op	 106.84 MB/s	    271321 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1378	    280920 ns/op	 102.84 MB/s	    281640 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1298	    269564 ns/op	 107.18 MB/s	    270264 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1245	    275858 ns/op	 104.73 MB/s	    276470 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1340	    274776 ns/op	 105.14 MB/s	    275537 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1172	    304633 ns/op	 151.99 MB/s	    303850 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1210	    306318 ns/op	 151.15 MB/s	    307057 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1200	    308568 ns/op	 150.05 MB/s	    309515 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal      960	    367210 ns/op	 126.09 MB/s	    368027 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1224	    302229 ns/op	 153.20 MB/s	    302975 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1212	    307511 ns/op	 150.56 MB/s	    308227 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1188	    313374 ns/op	 147.75 MB/s	    314275 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1232	    298621 ns/op	 155.05 MB/s	    299488 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1082	    338151 ns/op	 136.92 MB/s	    339964 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1159	    309702 ns/op	 149.50 MB/s	    310641 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  15492585 ns/op	 125.25 MB/s	  15526167 cpu-ns/op	  390300 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  16700996 ns/op	 116.19 MB/s	  16734800 cpu-ns/op	  390288 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       12	  26856509 ns/op	  72.25 MB/s	  26918500 cpu-ns/op	  390580 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  20152440 ns/op	  96.29 MB/s	  20204095 cpu-ns/op	  390341 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  17392860 ns/op	 111.57 MB/s	  17433591 cpu-ns/op	  390326 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  22136104 ns/op	  87.66 MB/s	  21737600 cpu-ns/op	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  14772235 ns/op	 131.36 MB/s	  14803880 cpu-ns/op	  390288 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  14724246 ns/op	 131.79 MB/s	  14771120 cpu-ns/op	  390288 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  14800868 ns/op	 131.11 MB/s	  14850120 cpu-ns/op	  390288 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  14893918 ns/op	 130.29 MB/s	  14926381 cpu-ns/op	  390341 B/op	   11708 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3099868 ns/op	 203.72 MB/s	   3116340 cpu-ns/op	  209372 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      132	   2718192 ns/op	 232.33 MB/s	   2724167 cpu-ns/op	  209355 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      129	   2828634 ns/op	 223.26 MB/s	   2834729 cpu-ns/op	  209356 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       72	   4877349 ns/op	 129.48 MB/s	   4886889 cpu-ns/op	  209399 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      128	   2781407 ns/op	 227.05 MB/s	   2787852 cpu-ns/op	  209358 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      124	   2986670 ns/op	 211.44 MB/s	   2995629 cpu-ns/op	  209356 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3047860 ns/op	 207.20 MB/s	   3056010 cpu-ns/op	  209373 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      124	   2860744 ns/op	 220.75 MB/s	   2865016 cpu-ns/op	  209355 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      123	   2844251 ns/op	 222.03 MB/s	   2856065 cpu-ns/op	  209359 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      128	   2792282 ns/op	 226.16 MB/s	   2797727 cpu-ns/op	  209357 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      142	   2664853 ns/op	 101.47 MB/s	   2669092 cpu-ns/op	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       99	   3328741 ns/op	  81.23 MB/s	   3335747 cpu-ns/op	      56 B/op	       0 allocs/op
