BenchmarkJSON/Small/Unmarshal   415921	       964.8 ns/op	  69.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   428533	       883.4 ns/op	  75.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   286426	      1216 ns/op	  55.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   386355	       921.5 ns/op	  72.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   420931	       853.0 ns/op	  78.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   261958	      1466 ns/op	  45.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   245817	      2027 ns/op	  33.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   425037	       858.2 ns/op	  78.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   426741	       861.4 ns/op	  77.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   213242	      1673 ns/op	  40.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Records/Unmarshal      970	    349451 ns/op	  82.68 MB/s	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1232	    274587 ns/op	 105.22 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1334	    268182 ns/op	 107.73 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      812	    549206 ns/op	  52.61 MB/s	    3302 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1180	    297182 ns/op	  97.22 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      841	    463309 ns/op	  62.36 MB/s	    3302 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1266	    292694 ns/op	  98.71 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1273	    301907 ns/op	  95.70 MB/s	    3300 B/op	     256 allocs/op
