BenchmarkJSON/Small/Unmarshal   354307	       960.9 ns/op	  69.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   166118	      1949 ns/op	  34.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   330553	      1064 ns/op	  62.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   412141	      1127 ns/op	  59.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   360536	       879.7 ns/op	  76.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   214878	      1548 ns/op	  43.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   271309	      1220 ns/op	  54.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   172113	      1835 ns/op	  36.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   106418	      3403 ns/op	  19.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   431929	      1142 ns/op	  58.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Records/Unmarshal     1375	    271539 ns/op	 106.40 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1416	    259179 ns/op	 111.47 MB/s	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1230	    317470 ns/op	  91.00 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      982	    340288 ns/op	  84.90 MB/s	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      957	    325410 ns/op	  88.78 MB/s	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1338	    282193 ns/op	 102.38 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1129	    305351 ns/op	  94.62 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1237	    316707 ns/op	  91.22 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1317	    388214 ns/op	  74.42 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      739	    493879 ns/op	  58.50 MB/s	    3303 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1093	    362529 ns/op	 127.71 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1046	    331831 ns/op	 139.53 MB/s	    3301 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal      981	    306546 ns/op	 151.04 MB/s	    3301 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal      322	   1066278 ns/op	  43.42 MB/s	    3312 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1009	    334647 ns/op	 138.35 MB/s	    3301 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1245	    324304 ns/op	 142.77 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1232	    341707 ns/op	 135.50 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal      553	    637948 ns/op	  72.58 MB/s	    3305 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1243	    297240 ns/op	 155.77 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/RecordsPretty/Unmarshal     1123	    318548 ns/op	 145.35 MB/s	    3300 B/op	     256 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2446416	       141.0 ns/op	  70.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2525023	       145.2 ns/op	  68.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1411365	       256.4 ns/op	  39.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1463182	       242.4 ns/op	  41.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2189704	       149.0 ns/op	  67.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2089935	       152.7 ns/op	  65.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2649435	       133.5 ns/op	  74.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2523246	       153.8 ns/op	  65.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1800787	       174.9 ns/op	  57.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2463330	       142.2 ns/op	  70.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  21186910 ns/op	  91.59 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal        3	 115614957 ns/op	  16.78 MB/s	  392298 B/op	   11713 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  15660798 ns/op	 123.91 MB/s	  390326 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       19	  17034746 ns/op	 113.91 MB/s	  390376 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  15814457 ns/op	 122.70 MB/s	  390341 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  17565583 ns/op	 110.47 MB/s	  390305 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  15104336 ns/op	 128.47 MB/s	  390341 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  15186271 ns/op	 127.78 MB/s	  390305 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       19	  17283975 ns/op	 112.27 MB/s	  390376 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       13	  24115073 ns/op	  80.47 MB/s	  390548 B/op	   11708 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      126	   2812614 ns/op	 224.53 MB/s	  209359 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2760223 ns/op	 228.79 MB/s	  209358 B/op	    2530 allocs/op
