binary,json_source_revision,sha256
scalar,a0e52cebe57256cf1545f602b3c2344ad952267c (scalar JSON sources),b69709f4fe1e496a3a9a301ddfe21fa71dcac4160ec28889fa951953169abf63
current,8f35ae7c1fdbf465118241101ac3498c834fc4ad,72d6eb3d1f014ebc44d4c271a026290a930f44a85593eeafae5470c9039acbc5
group-encode,a809b6c43b75d4f46235e7dc5f69999e0f374536,4678aa0941ed06816ea13e58b7a3bcaf00a3aa073fc31c25dbd3e039ad64c01b
final,f45b4cc3a312eeb50ff59c90397e2c193d8e0041,67fde9d2b4fb279c65b0b5eeb8c3a7f969fba1910c263558ba68e7d70e0fe25c
unquote,4bd5dc1df69203004c33a91092c95fb353e796c8,0712b2a3816878411b407218c8a78b261260d88873f61da6cb0fd8e9d3f4abb9
utf8-before,4bd5dc1df69203004c33a91092c95fb353e796c8,87268e22a2b524c885052919a16fbffb6c298692acfb2ae3cd800927e7fac8bf
utf8-encode2,e92283200f7d7c1964467a7d411cefa1a1b221d1,de0bfdd003ae20105a4d4f1bbb6e0c18c01ef60e7cc2b2b89489e9d090336783
utf8-decode2,bcf196b8fe94ac4a2a195fddce032c8393423045,1fe3cb3fc3e312676f22c3b35427d811935c29bc7508592fb6a1f89c7a27fe9c
short-final,rejected scalar eight-byte probe on utf8-decode2,352008b41cca864f26a7833384b7346da6857247ec80e2409463540bd4dcdcb1
word-quote,rejected quote word probe on utf8-decode2,12d60960a3de70b4999b1fdab9051b79c912c9989150c4e6e63b6cc85b480d63
