comparison,case,op,repeat,binary,n,Ir,Bc,Bcm,Bi,Bim
original-simd,Small,Marshal,0,scalar,200,4466.89,611.195,23.82,13.03,4.055
original-simd,Small,Marshal,0,current,200,4490.89,619.195,24.85,13.03,4.055
original-simd,Small,Marshal,1,current,200,4466.89,615.195,23.85,13.03,4.055
original-simd,Small,Marshal,1,scalar,200,4466.89,611.195,23.82,13.03,4.055
original-simd,Small,Marshal,2,scalar,200,4466.89,611.195,23.82,13.03,4.055
original-simd,Small,Marshal,2,current,200,4490.89,619.195,24.85,13.03,4.055
original-simd,Small,Unmarshal,0,scalar,200,9423.165,1703.355,99.02,12.01,4.04
original-simd,Small,Unmarshal,0,current,200,10046.165,1711.355,68.095,12.01,4.04
original-simd,Small,Unmarshal,1,current,200,10070.165,1715.355,68.105,12.01,4.04
original-simd,Small,Unmarshal,1,scalar,200,9399.165,1699.355,99.01,12.01,4.04
original-simd,Small,Unmarshal,2,scalar,200,9399.165,1699.355,99.01,12.01,4.04
original-simd,Small,Unmarshal,2,current,200,10052.165,1713.355,68.125,12.01,4.04
original-simd,ASCII8,Marshal,0,scalar,200,1327.08,186.91,3.08,6.01,0.04
original-simd,ASCII8,Marshal,0,current,200,1323.08,187.91,3.085,6.01,0.04
original-simd,ASCII8,Marshal,1,current,200,1323.08,187.91,3.085,6.01,0.04
original-simd,ASCII8,Marshal,1,scalar,200,1327.08,186.91,3.08,6.01,0.04
original-simd,ASCII8,Marshal,2,scalar,200,1327.08,186.91,3.08,6.01,0.04
original-simd,ASCII8,Marshal,2,current,200,1323.08,187.91,3.085,6.01,0.04
original-simd,ASCII8,Unmarshal,0,scalar,200,1663.165,263.355,5.88,5.01,0.035
original-simd,ASCII8,Unmarshal,0,current,200,1745.165,287.355,6.875,5.01,0.035
original-simd,ASCII8,Unmarshal,1,current,200,1745.165,287.355,6.875,5.01,0.035
original-simd,ASCII8,Unmarshal,1,scalar,200,1663.165,263.355,5.88,5.01,0.035
original-simd,ASCII8,Unmarshal,2,scalar,200,1663.165,263.355,5.88,5.01,0.035
original-simd,ASCII8,Unmarshal,2,current,200,1745.165,287.355,6.875,5.01,0.035
original-simd,ASCII32,Marshal,0,scalar,200,1711.03,266.215,3.475,6.025,0.05
original-simd,ASCII32,Marshal,0,current,200,1317.03,176.215,2.47,6.025,0.05
original-simd,ASCII32,Marshal,1,current,200,1317.03,176.215,2.47,6.025,0.05
original-simd,ASCII32,Marshal,1,scalar,200,1711.03,266.215,3.475,6.025,0.05
original-simd,ASCII32,Marshal,2,scalar,200,1711.03,266.215,3.475,6.025,0.05
original-simd,ASCII32,Marshal,2,current,200,1317.03,176.215,2.47,6.025,0.05
original-simd,ASCII32,Unmarshal,0,scalar,200,2170.165,413.355,6.89,5.01,0.035
original-simd,ASCII32,Unmarshal,0,current,200,1728.165,239.355,6.87,5.01,0.035
original-simd,ASCII32,Unmarshal,1,current,200,1728.165,239.355,6.87,5.01,0.035
original-simd,ASCII32,Unmarshal,1,scalar,200,2170.165,413.355,6.89,5.01,0.035
original-simd,ASCII32,Unmarshal,2,scalar,200,2170.165,413.355,6.89,5.01,0.035
original-simd,ASCII32,Unmarshal,2,current,200,1728.165,239.355,6.87,5.01,0.035
original-simd,ASCII256,Marshal,0,scalar,200,5231.29,959.965,5.78,5.055,0.045
original-simd,ASCII256,Marshal,0,current,200,1687.025,220.23,5.88,5.055,0.045
original-simd,ASCII256,Marshal,1,current,200,1684.745,219.895,5.94,5.055,0.045
original-simd,ASCII256,Marshal,1,scalar,200,5231.29,959.965,5.78,5.055,0.045
original-simd,ASCII256,Marshal,2,scalar,200,5231.29,959.965,5.78,5.055,0.045
original-simd,ASCII256,Marshal,2,current,200,1673.29,218.965,4.83,5.055,0.045
original-simd,ASCII256,Unmarshal,0,scalar,200,6690.165,1761.355,6.91,5.01,0.035
original-simd,ASCII256,Unmarshal,0,current,200,2160.165,285.355,8.905,5.01,0.035
original-simd,ASCII256,Unmarshal,1,current,200,2160.165,285.355,8.905,5.01,0.035
original-simd,ASCII256,Unmarshal,1,scalar,200,6690.165,1761.355,6.91,5.01,0.035
original-simd,ASCII256,Unmarshal,2,scalar,200,6690.165,1761.355,6.91,5.01,0.035
original-simd,ASCII256,Unmarshal,2,current,200,2160.165,285.355,8.905,5.01,0.035
original-simd,ASCII4096,Marshal,0,scalar,200,64340.15,12637.32,10.95,6.335,0.055
original-simd,ASCII4096,Marshal,0,current,200,6880.89,830.44,10.325,5.6,0.055
original-simd,ASCII4096,Marshal,1,current,200,6807.64,818.605,10.72,6.015,0.055
original-simd,ASCII4096,Marshal,1,scalar,200,64212.115,12624.47,9.44,5.215,0.045
original-simd,ASCII4096,Marshal,2,scalar,200,64160.9,12620.22,9.34,5.215,0.045
original-simd,ASCII4096,Marshal,2,current,200,6644.775,744.6,11.245,6.505,0.055
original-simd,ASCII4096,Unmarshal,0,scalar,200,84693.1,24962.805,13.07,5.845,0.055
original-simd,ASCII4096,Unmarshal,0,current,200,10427.19,1255.29,14.56,5.845,0.055
original-simd,ASCII4096,Unmarshal,1,current,200,10374.485,1239.665,14.845,5.845,0.055
original-simd,ASCII4096,Unmarshal,1,scalar,200,84689.91,24962.58,13.135,5.875,0.065
original-simd,ASCII4096,Unmarshal,2,scalar,200,84683.25,24961.965,13.0,5.845,0.055
original-simd,ASCII4096,Unmarshal,2,current,200,10075.46,1166.275,13.42,5.845,0.055
original-simd,EscapeRuns,Marshal,0,scalar,200,65856.415,12956.4,25.28,5.215,0.045
original-simd,EscapeRuns,Marshal,0,current,200,58389.665,12212.08,25.545,5.215,0.045
original-simd,EscapeRuns,Marshal,1,current,200,58521.685,12224.14,26.225,5.245,0.055
original-simd,EscapeRuns,Marshal,1,scalar,200,66242.455,13036.64,26.955,5.95,0.055
original-simd,EscapeRuns,Marshal,2,scalar,200,65946.11,12965.165,26.15,6.015,0.055
original-simd,EscapeRuns,Marshal,2,current,200,58515.215,12223.77,26.01,5.215,0.045
original-simd,EscapeRuns,Unmarshal,0,scalar,200,149017.175,52660.135,78.675,5.745,0.06
original-simd,EscapeRuns,Unmarshal,0,current,200,144614.395,51193.49,75.315,5.74,0.055
original-simd,EscapeRuns,Unmarshal,1,current,200,144537.9,51184.8,73.655,5.74,0.055
original-simd,EscapeRuns,Unmarshal,1,scalar,200,149364.59,52691.15,80.045,8.325,0.065
original-simd,EscapeRuns,Unmarshal,2,scalar,200,149490.565,52760.755,79.455,5.985,0.065
original-simd,EscapeRuns,Unmarshal,2,current,200,144677.6,51199.535,75.69,7.695,0.065
original-simd,UnicodeRuns,Marshal,0,scalar,200,66274.455,12963.91,28.715,6.155,0.055
original-simd,UnicodeRuns,Marshal,0,current,200,58671.03,12197.76,25.455,5.355,0.055
original-simd,UnicodeRuns,Marshal,1,current,200,58419.505,12118.24,24.965,5.215,0.045
original-simd,UnicodeRuns,Marshal,1,scalar,200,66132.44,12928.15,28.045,5.6,0.055
original-simd,UnicodeRuns,Marshal,2,scalar,200,65631.765,12837.86,26.0,5.215,0.045
original-simd,UnicodeRuns,Marshal,2,current,200,58233.26,12101.09,24.245,5.215,0.045
original-simd,UnicodeRuns,Unmarshal,0,scalar,200,101046.24,35202.76,50.59,5.215,0.045
original-simd,UnicodeRuns,Unmarshal,0,current,200,96575.755,33732.775,49.86,6.16,0.055
original-simd,UnicodeRuns,Unmarshal,1,current,200,96521.11,33727.165,49.745,6.015,0.055
original-simd,UnicodeRuns,Unmarshal,1,scalar,200,101071.685,35204.8,51.0,5.215,0.045
original-simd,UnicodeRuns,Unmarshal,2,scalar,200,100942.415,35193.57,50.11,5.215,0.045
original-simd,UnicodeRuns,Unmarshal,2,current,200,96458.155,33721.29,49.595,5.775,0.055
original-simd,GolangSource,Marshal,0,scalar,3,61977599.666666664,8847567.0,309274.3333333333,102462.0,64036.0
original-simd,GolangSource,Marshal,0,current,3,59953674.333333336,8430365.666666666,312683.0,102463.0,64036.0
original-simd,GolangSource,Marshal,1,current,3,59953453.0,8430323.0,312657.6666666667,102464.0,64035.666666666664
original-simd,GolangSource,Marshal,1,scalar,3,61978062.666666664,8847587.0,309267.0,102464.0,64036.0
original-simd,GolangSource,Marshal,2,scalar,3,61977139.0,8847482.333333334,309246.0,102461.0,64035.666666666664
original-simd,GolangSource,Marshal,2,current,3,59953171.333333336,8430299.666666666,312653.0,102464.33333333333,64036.0
original-simd,GolangSource,Unmarshal,0,scalar,3,170824360.33333334,35229124.0,1265043.3333333333,112585.0,69140.0
original-simd,GolangSource,Unmarshal,0,current,3,173155058.33333334,31684929.333333332,1024709.3333333334,112588.66666666667,69142.33333333333
original-simd,GolangSource,Unmarshal,1,current,3,173150939.66666666,31684423.0,1050196.0,112586.66666666667,69140.33333333333
original-simd,GolangSource,Unmarshal,1,scalar,3,170825408.0,35229168.0,1265095.3333333333,112586.66666666667,69140.33333333333
original-simd,GolangSource,Unmarshal,2,scalar,3,170827844.33333334,35229536.666666664,1265193.0,112588.66666666667,69142.33333333333
original-simd,GolangSource,Unmarshal,2,current,3,173077375.33333334,31659236.0,1011897.6666666666,112587.0,69142.0
original-simd,StringEscaped,Marshal,0,scalar,3,597493.0,85796.33333333333,347.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringEscaped,Marshal,0,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringEscaped,Marshal,1,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringEscaped,Marshal,1,scalar,3,597324.0,85772.66666666667,345.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringEscaped,Marshal,2,scalar,3,597493.0,85796.33333333333,347.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringEscaped,Marshal,2,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringEscaped,Unmarshal,0,scalar,3,3400882.0,717742.6666666666,18534.666666666668,104.33333333333333,23.666666666666668
original-simd,StringEscaped,Unmarshal,0,current,3,3423870.6666666665,719597.6666666666,18418.333333333332,104.33333333333333,23.666666666666668
original-simd,StringEscaped,Unmarshal,1,current,3,3423388.6666666665,719536.3333333334,18409.333333333332,104.33333333333333,23.666666666666668
original-simd,StringEscaped,Unmarshal,1,scalar,3,3400709.0,717712.3333333334,18543.333333333332,104.33333333333333,23.666666666666668
original-simd,StringEscaped,Unmarshal,2,scalar,3,3400331.6666666665,717681.6666666666,18506.0,104.33333333333333,23.666666666666668
original-simd,StringEscaped,Unmarshal,2,current,3,3423311.6666666665,719541.6666666666,18378.0,104.33333333333333,23.666666666666668
original-simd,StringUnicode,Marshal,0,scalar,3,597493.0,85796.33333333333,347.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringUnicode,Marshal,0,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringUnicode,Marshal,1,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringUnicode,Marshal,1,scalar,3,597493.0,85796.33333333333,347.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringUnicode,Marshal,2,scalar,3,597493.0,85796.33333333333,347.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringUnicode,Marshal,2,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
original-simd,StringUnicode,Unmarshal,0,scalar,3,1205712.6666666667,211937.0,1418.0,67.0,3.0
original-simd,StringUnicode,Unmarshal,0,current,3,1209052.3333333333,208177.0,1229.3333333333333,67.0,3.0
original-simd,StringUnicode,Unmarshal,1,current,3,1209036.6666666667,208183.0,1231.6666666666667,67.0,3.0
original-simd,StringUnicode,Unmarshal,1,scalar,3,1205756.6666666667,211941.0,1422.0,67.0,3.0
original-simd,StringUnicode,Unmarshal,2,scalar,3,1206029.6666666667,211985.0,1440.3333333333333,67.0,3.0
original-simd,StringUnicode,Unmarshal,2,current,3,1208777.6666666667,208141.0,1214.6666666666667,67.0,3.0
original-simd,TwitterStatus,Marshal,0,scalar,3,12894370.333333334,1861989.0,55565.666666666664,16932.666666666668,8129.333333333333
