comparison,case,op,before,after,before_Ir,after_Ir,delta_percent,before_min,before_max,after_min,after_max
original-simd,ASCII256,Marshal,scalar,current,5231.29,1684.745,-67.79484601312487,5231.29,5231.29,1673.29,1687.025
original-simd,ASCII256,Unmarshal,scalar,current,6690.165,2160.165,-67.71133447381344,6690.165,6690.165,2160.165,2160.165
original-simd,ASCII32,Marshal,scalar,current,1711.03,1317.03,-23.02706556869254,1711.03,1711.03,1317.03,1317.03
original-simd,ASCII32,Unmarshal,scalar,current,2170.165,1728.165,-20.36711494287301,2170.165,2170.165,1728.165,1728.165
original-simd,ASCII4096,Marshal,scalar,current,64212.115,6807.64,-89.39820001256771,64160.9,64340.15,6644.775,6880.89
original-simd,ASCII4096,Unmarshal,scalar,current,84689.91,10374.485,-87.75003421304852,84683.25,84693.1,10075.46,10427.19
original-simd,ASCII8,Marshal,scalar,current,1327.08,1323.08,-0.30141362992434084,1327.08,1327.08,1323.08,1323.08
original-simd,ASCII8,Unmarshal,scalar,current,1663.165,1745.165,4.930358683594238,1663.165,1663.165,1745.165,1745.165
original-simd,CanadaGeometry,Marshal,scalar,current,14282526.333333334,14283358.666666666,0.005827633808652699,14282415.0,14282590.666666666,14282759.666666666,14283555.0
original-simd,CanadaGeometry,Unmarshal,scalar,current,29603668.0,29610783.0,0.02403418387209033,29603499.0,29603692.0,29610783.0,29610807.0
original-simd,EscapeRuns,Marshal,scalar,current,65946.11,58515.215,-11.26813241903124,65856.415,66242.455,58389.665,58521.685
original-simd,EscapeRuns,Unmarshal,scalar,current,149364.59,144614.395,-3.180268496033767,149017.175,149490.565,144537.9,144677.6
original-simd,GolangSource,Marshal,scalar,current,61977599.666666664,59953453.0,-3.2659326555934842,61977139.0,61978062.666666664,59953171.333333336,59953674.333333336
original-simd,GolangSource,Unmarshal,scalar,current,170825408.0,173150939.66666666,1.361349985282434,170824360.33333334,170827844.33333334,173077375.33333334,173155058.33333334
original-simd,Small,Marshal,scalar,current,4466.89,4490.89,0.5372865685074002,4466.89,4466.89,4466.89,4490.89
original-simd,Small,Unmarshal,scalar,current,9399.165,10052.165,6.947425648980521,9399.165,9423.165,10046.165,10070.165
original-simd,StringEscaped,Marshal,scalar,current,597493.0,584179.0,-2.228310624559615,597324.0,597493.0,584179.0,584179.0
original-simd,StringEscaped,Unmarshal,scalar,current,3400709.0,3423388.6666666665,0.6669099492684127,3400331.6666666665,3400882.0,3423311.6666666665,3423870.6666666665
original-simd,StringUnicode,Marshal,scalar,current,597493.0,584179.0,-2.228310624559615,597493.0,597493.0,584179.0,584179.0
original-simd,StringUnicode,Unmarshal,scalar,current,1205756.6666666667,1209036.6666666667,0.2720283528738543,1205712.6666666667,1206029.6666666667,1208777.6666666667,1209052.3333333333
original-simd,TwitterStatus,Marshal,scalar,current,12894370.333333334,12234350.666666666,-5.118665352432494,12893629.666666666,12894911.333333334,12233806.333333334,12234385.333333334
original-simd,TwitterStatus,Unmarshal,scalar,current,33621288.0,31849796.0,-5.268959356940761,33607430.0,33626262.0,31849755.0,31858308.666666668
original-simd,UnicodeRuns,Marshal,scalar,current,66132.44,58419.505,-11.662861675752477,65631.765,66274.455,58233.26,58671.03
original-simd,UnicodeRuns,Unmarshal,scalar,current,101046.24,96521.11,-4.478276480154042,100942.415,101071.685,96458.155,96575.755
ascii-quote-runs,ASCII256,Marshal,current,encode,1673.29,1701.29,1.6733501066760637,1673.29,1677.76,1701.29,1701.29
ascii-quote-runs,ASCII32,Marshal,current,encode,1317.01,1345.03,2.1275464878778516,1317.01,1317.03,1345.03,1345.03
ascii-quote-runs,ASCII4096,Marshal,current,encode,6504.94,6460.445,-0.6840186073968413,6490.245,6571.4,6397.915,6498.79
ascii-quote-runs,ASCII8,Marshal,current,encode,1323.08,1312.08,-0.8313934153641456,1323.08,1323.08,1312.08,1312.08
ascii-quote-runs,CanadaGeometry,Marshal,current,encode,14282948.333333334,14282475.666666666,-0.0033093074037426895,14282923.0,14283304.333333334,14281967.666666666,14283029.0
ascii-quote-runs,EscapeRuns,Marshal,current,encode,58742.06,10007.595,-82.96349327892145,58601.01,58776.88,9983.155,10024.495
ascii-quote-runs,GolangSource,Marshal,current,encode,59953866.0,59347221.333333336,-1.011852457799245,59953142.666666664,59954584.0,59346976.0,59349028.0
ascii-quote-runs,Small,Marshal,current,encode,4466.89,4526.89,1.3432164212684894,4466.85,4466.89,4526.89,4550.89
ascii-quote-runs,StringEscaped,Marshal,current,encode,584179.0,567617.0,-2.835089929627732,584179.0,584179.0,567448.0,567617.0
ascii-quote-runs,StringUnicode,Marshal,current,encode,584179.0,567617.0,-2.835089929627732,584179.0,584179.0,567617.0,567617.0
ascii-quote-runs,TwitterStatus,Marshal,current,encode,12234213.0,12066168.666666666,-1.3735606314303483,12233667.0,12234296.666666666,12065579.0,12066884.666666666
ascii-quote-runs,UnicodeRuns,Marshal,current,encode,58410.325,9617.72,-83.53421248726146,58318.465,58838.595,9551.485,9664.58
ascii-validate-runs,ASCII256,Unmarshal,encode,final,2160.165,2160.165,0.0,2160.165,2160.165,2160.165,2160.165
ascii-validate-runs,ASCII32,Unmarshal,encode,final,1728.165,1728.165,0.0,1728.165,1728.165,1728.165,1728.165
ascii-validate-runs,ASCII4096,Unmarshal,encode,final,10074.37,10075.9,0.015187053880283408,10073.58,10075.68,10072.92,10075.9
ascii-validate-runs,ASCII8,Unmarshal,encode,final,1745.165,1745.165,0.0,1745.165,1745.165,1745.165,1745.165
ascii-validate-runs,CanadaGeometry,Unmarshal,encode,final,29611274.0,29611226.0,-0.00016210042161901583,29610614.0,29612486.333333332,29610638.0,29611226.0
ascii-validate-runs,EscapeRuns,Unmarshal,encode,final,144585.92,64806.245,-55.178038774453285,144542.885,144894.43,64677.63,64833.515
