BenchmarkJSON/Small/Marshal   496275	      1191 ns/op	  56.27 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   822014	       674.1 ns/op	  99.40 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   724526	       996.3 ns/op	  67.25 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   729883	       704.6 ns/op	  95.09 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       536.4 ns/op	 124.90 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1091422	       556.5 ns/op	 120.39 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       540.5 ns/op	 123.96 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1020010	       576.6 ns/op	 116.21 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   996645	       559.4 ns/op	 119.78 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1135575	       526.0 ns/op	 127.37 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       637.1 ns/op	 105.16 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       603.6 ns/op	 111.00 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       524.4 ns/op	 127.77 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       521.6 ns/op	 128.44 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       531.3 ns/op	 126.11 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       559.7 ns/op	 119.72 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       692.4 ns/op	  96.77 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   580592	       950.7 ns/op	  70.47 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1103611	       544.5 ns/op	 123.04 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       547.0 ns/op	 122.50 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   532209	      1184 ns/op	3460.76 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   501386	      1397 ns/op	2932.72 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   564061	       998.0 ns/op	4106.38 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   629534	       998.9 ns/op	4102.57 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   604207	       972.8 ns/op	4212.50 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   620676	       980.6 ns/op	4179.10 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   595964	      1023 ns/op	4004.59 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   569238	      1219 ns/op	3360.63 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   538836	      1060 ns/op	3864.30 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   592506	      1004 ns/op	4080.55 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   598656	       976.9 ns/op	4194.76 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   617167	       952.6 ns/op	4301.89 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   601593	       987.2 ns/op	4151.06 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   626715	       969.5 ns/op	4226.84 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   541072	      1076 ns/op	3810.15 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   546999	       981.7 ns/op	4174.54 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   635160	       939.9 ns/op	4359.94 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   507578	      1027 ns/op	3990.07 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   468271	      1073 ns/op	3820.12 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   500701	      1138 ns/op	3601.76 MB/s	    4864 B/op	       1 allocs/op
