BenchmarkJSON/Small/Marshal   623748	       975.1 ns/op	  68.71 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   660492	      1000 ns/op	  67.00 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   572666	       966.2 ns/op	  69.35 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1026063	       592.1 ns/op	 113.16 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1113975	       542.0 ns/op	 123.61 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1074288	       551.4 ns/op	 121.52 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       534.5 ns/op	 125.36 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       508.8 ns/op	 131.68 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       666.4 ns/op	 100.53 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       539.8 ns/op	 124.11 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       535.8 ns/op	 125.04 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1093698	       541.9 ns/op	 123.64 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1008687	       586.0 ns/op	 114.34 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1072072	       554.3 ns/op	 120.86 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   953859	       585.9 ns/op	 114.36 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       545.3 ns/op	 122.87 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   919982	       581.2 ns/op	 115.29 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       523.8 ns/op	 127.91 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   954439	       533.3 ns/op	 125.64 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal  1000000	       629.7 ns/op	 106.40 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   279216	      1999 ns/op	2049.86 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   637011	       925.1 ns/op	4429.88 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   611680	      1006 ns/op	4074.30 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   599275	      1031 ns/op	3974.10 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   536920	      1479 ns/op	2770.32 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   576873	      1027 ns/op	3990.86 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   515396	      1253 ns/op	3271.80 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   590701	      1007 ns/op	4067.71 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   528006	       955.4 ns/op	4289.23 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   602392	       996.4 ns/op	4112.82 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   365305	      1626 ns/op	2520.41 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   609495	       982.5 ns/op	4170.85 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   657681	       902.5 ns/op	4540.92 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   521658	       986.3 ns/op	4155.00 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   648472	       926.0 ns/op	4425.68 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   612852	       958.8 ns/op	4274.12 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   507294	      1054 ns/op	3886.49 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   581296	      1017 ns/op	4031.32 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   479473	      1292 ns/op	3171.18 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   466804	      1195 ns/op	3428.73 MB/s	    4864 B/op	       1 allocs/op
