BenchmarkJSON/Small/Marshal   711235	       514.4 ns/op	 130.25 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   652902	       571.1 ns/op	 117.32 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   663903	       504.1 ns/op	 132.90 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   730932	       525.8 ns/op	 127.42 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   585447	       519.9 ns/op	 128.87 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   527356	       606.3 ns/op	 110.52 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   668265	       540.4 ns/op	 123.97 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   644972	       552.5 ns/op	 121.28 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   593628	       549.3 ns/op	 121.97 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   578517	       603.3 ns/op	 111.05 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Unmarshal   435901	       876.2 ns/op	  76.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   432768	       883.4 ns/op	  75.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   423975	       852.7 ns/op	  78.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   334700	       905.9 ns/op	  73.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   419059	       897.1 ns/op	  74.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   232292	      1684 ns/op	  39.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   408840	       875.8 ns/op	  76.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   437661	       871.2 ns/op	  76.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   438548	       860.9 ns/op	  77.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   423662	       849.2 ns/op	  78.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Marshal  2774487	       126.8 ns/op	  78.85 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2829147	       128.6 ns/op	  77.77 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2681115	       130.9 ns/op	  76.41 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2654860	       129.2 ns/op	  77.37 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1514413	       244.1 ns/op	  40.96 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2624656	       131.8 ns/op	  75.86 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2735394	       132.6 ns/op	  75.39 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2868457	       122.7 ns/op	  81.47 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1522244	       245.1 ns/op	  40.80 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2896456	       123.8 ns/op	  80.75 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2619730	       137.5 ns/op	  72.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2644575	       135.8 ns/op	  73.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2628799	       134.8 ns/op	  74.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2483982	       139.6 ns/op	  71.62 MB/s	       0 B/op	       0 allocs/op
