BenchmarkJSON/Small/Marshal   685456	       566.1 ns/op	 118.34 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   714796	       520.6 ns/op	 128.69 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   721968	       538.8 ns/op	 124.35 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   670288	       524.3 ns/op	 127.80 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   588361	       578.0 ns/op	 115.92 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   600985	       513.5 ns/op	 130.49 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   724674	       522.7 ns/op	 128.18 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   687766	       521.9 ns/op	 128.37 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   637972	       520.0 ns/op	 128.85 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   604116	       576.8 ns/op	 116.15 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Unmarshal   425823	       911.6 ns/op	  73.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   358522	       917.7 ns/op	  73.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   417378	       890.9 ns/op	  75.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   400258	       907.0 ns/op	  73.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   373922	       893.5 ns/op	  74.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   352869	       967.2 ns/op	  69.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   392472	       945.9 ns/op	  70.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   341722	       930.2 ns/op	  72.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   349300	      1027 ns/op	  65.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   393153	       921.9 ns/op	  72.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Marshal  2814936	       128.3 ns/op	  77.91 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2795644	       126.1 ns/op	  79.29 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2821425	       125.2 ns/op	  79.88 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2889936	       124.9 ns/op	  80.05 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2904205	       120.3 ns/op	  83.13 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2930709	       126.0 ns/op	  79.38 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2949184	       121.0 ns/op	  82.65 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2587593	       131.2 ns/op	  76.24 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2778691	       131.3 ns/op	  76.16 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2840008	       127.0 ns/op	  78.75 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2499114	       145.9 ns/op	  68.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2441635	       147.4 ns/op	  67.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2324895	       149.8 ns/op	  66.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2423958	       140.9 ns/op	  70.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2543493	       151.6 ns/op	  65.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2504554	       141.9 ns/op	  70.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2583799	       150.6 ns/op	  66.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2091636	       196.9 ns/op	  50.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2622884	       141.0 ns/op	  70.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2290716	       148.7 ns/op	  67.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Marshal  2341935	       150.6 ns/op	 225.74 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2162169	       151.3 ns/op	 224.73 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2608303	       136.2 ns/op	 249.56 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2762407	       131.1 ns/op	 259.34 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2338438	       148.6 ns/op	 228.83 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2049963	       153.9 ns/op	 220.98 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2685849	       135.2 ns/op	 251.50 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2630152	       134.6 ns/op	 252.54 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2649450	       135.2 ns/op	 251.39 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2566225	       140.2 ns/op	 242.58 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2374345	       150.8 ns/op	 225.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2577050	       147.4 ns/op	 230.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2668855	       140.3 ns/op	 242.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2470507	       142.2 ns/op	 239.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2369230	       150.3 ns/op	 226.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2737838	       136.5 ns/op	 249.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2452513	       144.1 ns/op	 235.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2645852	       139.3 ns/op	 244.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1661779	       236.0 ns/op	 144.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2491945	       146.0 ns/op	 232.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Marshal   822884	       392.0 ns/op	 658.12 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1589262	       218.1 ns/op	1182.86 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1391492	       269.2 ns/op	 958.50 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1738870	       214.3 ns/op	1203.94 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1352686	       252.3 ns/op	1022.49 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1698403	       211.6 ns/op	1219.08 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1713457	       210.2 ns/op	1227.32 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1755828	       203.8 ns/op	1265.78 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1673115	       212.7 ns/op	1212.76 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1680158	       212.7 ns/op	1212.89 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2216997	       167.0 ns/op	1545.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2189481	       166.2 ns/op	1551.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1987404	       177.7 ns/op	1451.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2130696	       165.3 ns/op	1560.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2105581	       166.7 ns/op	1548.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2152675	       172.5 ns/op	1495.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2227807	       162.5 ns/op	1587.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1287484	       254.6 ns/op	1013.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2098890	       168.2 ns/op	1534.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2158952	       170.7 ns/op	1511.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII4096/Marshal   389877	       920.2 ns/op	4453.43 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   366482	       965.3 ns/op	4245.49 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   391471	       919.4 ns/op	4457.22 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   391316	       924.5 ns/op	4432.69 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   351918	       912.0 ns/op	4493.37 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   404188	       881.9 ns/op	4646.94 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   392779	       900.0 ns/op	4553.32 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   277354	      1238 ns/op	3309.08 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   299966	      1097 ns/op	3735.40 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   313057	       974.9 ns/op	4203.51 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   274512	      1327 ns/op	3088.70 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   257580	      1401 ns/op	2926.00 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   216757	      1468 ns/op	2791.06 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   252476	      1411 ns/op	2904.97 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   263167	      1354 ns/op	3026.58 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   226567	      1477 ns/op	2774.70 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   251492	      1429 ns/op	2867.82 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   199147	      3375 ns/op	1214.10 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   261160	      1653 ns/op	2478.92 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   230599	      1528 ns/op	2681.83 MB/s	    4096 B/op	       1 allocs/op
