BenchmarkJSON/Small/Marshal   655966	       522.3 ns/op	 128.28 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   737924	       508.7 ns/op	 131.70 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   717464	       519.6 ns/op	 128.95 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   653476	       649.9 ns/op	 103.09 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   554732	       568.7 ns/op	 117.82 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   616581	       524.6 ns/op	 127.71 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   712551	       540.5 ns/op	 123.96 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   675192	       524.0 ns/op	 127.86 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   744471	       527.9 ns/op	 126.92 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   716586	       617.8 ns/op	 108.44 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Unmarshal   413373	       837.9 ns/op	  79.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   335374	       901.2 ns/op	  74.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   454082	       819.2 ns/op	  81.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   404910	       847.2 ns/op	  79.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   422581	       850.6 ns/op	  78.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   234808	      1521 ns/op	  44.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   309799	      1093 ns/op	  61.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   371352	       867.7 ns/op	  77.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   435535	       852.1 ns/op	  78.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   388977	       851.7 ns/op	  78.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Marshal  2687367	       155.9 ns/op	  64.15 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2765372	       127.9 ns/op	  78.21 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2813340	       130.1 ns/op	  76.88 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2876290	       122.4 ns/op	  81.73 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2549223	       132.9 ns/op	  75.22 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2897955	       139.3 ns/op	  71.79 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2779131	       126.8 ns/op	  78.90 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2828668	       132.4 ns/op	  75.50 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2781106	       127.4 ns/op	  78.48 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2803614	       127.1 ns/op	  78.67 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2928757	       128.1 ns/op	  78.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2874298	       126.0 ns/op	  79.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2759006	       126.0 ns/op	  79.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2799000	       130.4 ns/op	  76.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2717164	       133.9 ns/op	  74.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2835468	       134.4 ns/op	  74.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2869471	       128.5 ns/op	  77.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2761384	       129.3 ns/op	  77.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2949495	       125.6 ns/op	  79.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2908678	       124.1 ns/op	  80.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Marshal  1971052	       172.0 ns/op	 197.68 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2236934	       164.8 ns/op	 206.33 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2198476	       164.7 ns/op	 206.43 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2317094	       159.8 ns/op	 212.73 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2144511	       174.9 ns/op	 194.43 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2185134	       163.9 ns/op	 207.43 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2074070	       167.9 ns/op	 202.48 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2215156	       165.3 ns/op	 205.63 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2019687	       173.5 ns/op	 195.92 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  2065717	       163.0 ns/op	 208.62 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2379574	       159.9 ns/op	 212.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2248141	       160.6 ns/op	 211.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1730383	       193.3 ns/op	 175.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2200268	       238.1 ns/op	 142.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2275747	       155.8 ns/op	 218.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2310379	       155.9 ns/op	 218.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2134040	       164.8 ns/op	 206.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2231144	       157.0 ns/op	 216.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2234168	       157.1 ns/op	 216.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2166162	       176.5 ns/op	 192.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Marshal   786032	       464.7 ns/op	 555.22 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   656430	       519.6 ns/op	 496.56 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   654502	       480.6 ns/op	 536.84 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   714949	       470.5 ns/op	 548.33 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   785754	       457.0 ns/op	 564.58 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   730208	       456.5 ns/op	 565.13 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   734377	       436.7 ns/op	 590.73 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   825957	       430.8 ns/op	 598.89 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   751630	       430.4 ns/op	 599.48 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   752876	       431.7 ns/op	 597.70 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Unmarshal   830324	       452.9 ns/op	 569.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal   753764	       474.4 ns/op	 543.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal   782906	       433.9 ns/op	 594.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal   755052	       467.9 ns/op	 551.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal   830050	       464.1 ns/op	 555.87 MB/s	       0 B/op	       0 allocs/op
