BenchmarkJSON/ASCII32/Unmarshal  3759184	       153.0 ns/op	 222.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4432372	       142.3 ns/op	 238.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4354345	       144.8 ns/op	 234.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4016461	       143.9 ns/op	 236.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4263794	       146.8 ns/op	 231.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  3764911	       143.6 ns/op	 236.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  3985246	       142.3 ns/op	 238.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  3963015	       144.9 ns/op	 234.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4271490	       144.9 ns/op	 234.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4186494	       140.8 ns/op	 241.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4426512	       140.4 ns/op	 242.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4061320	       142.0 ns/op	 239.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  3818491	       143.0 ns/op	 237.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4119944	       145.6 ns/op	 233.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  3908570	       148.8 ns/op	 228.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4058478	       142.9 ns/op	 237.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4073455	       145.3 ns/op	 234.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4006797	       144.3 ns/op	 235.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4366942	       137.2 ns/op	 247.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4188332	       142.8 ns/op	 238.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      236	   2620166 ns/op	 103.20 MB/s	      23 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      231	   2852211 ns/op	  94.80 MB/s	      24 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      192	   3260623 ns/op	  82.93 MB/s	      28 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      208	   2662706 ns/op	 101.55 MB/s	      26 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      192	   3409020 ns/op	  79.32 MB/s	      28 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      141	   3881306 ns/op	  69.67 MB/s	      39 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      194	   3430446 ns/op	  78.82 MB/s	      28 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      134	   4374360 ns/op	  61.82 MB/s	      41 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      229	   2740413 ns/op	  98.67 MB/s	      24 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      242	   3017965 ns/op	  89.60 MB/s	      22 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      232	   2578098 ns/op	 104.88 MB/s	      23 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      132	   4556023 ns/op	  59.35 MB/s	      42 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      213	   2969456 ns/op	  91.06 MB/s	      26 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      216	   3522855 ns/op	  76.76 MB/s	      25 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      220	   2591687 ns/op	 104.33 MB/s	      25 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      214	   2872918 ns/op	  94.12 MB/s	      25 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      196	   3698120 ns/op	  73.12 MB/s	      28 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      226	   2563783 ns/op	 105.47 MB/s	      24 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      232	   2548870 ns/op	 106.09 MB/s	      23 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      216	   2623680 ns/op	 103.06 MB/s	      25 B/op	       0 allocs/op
