BenchmarkJSON/ASCII32/Unmarshal  3424282	       196.3 ns/op	 173.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4049683	       146.2 ns/op	 232.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4224373	       159.0 ns/op	 213.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  3947370	       212.6 ns/op	 159.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  2548044	       254.4 ns/op	 133.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4294264	       147.6 ns/op	 230.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4053727	       142.9 ns/op	 237.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  3892002	       146.6 ns/op	 231.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4350146	       141.0 ns/op	 241.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4174689	       139.9 ns/op	 242.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4261671	       143.9 ns/op	 236.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4295619	       144.8 ns/op	 234.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4350691	       140.4 ns/op	 242.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4139277	       145.1 ns/op	 234.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4303148	       141.8 ns/op	 239.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4077262	       145.0 ns/op	 234.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4317733	       143.4 ns/op	 237.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4345688	       139.6 ns/op	 243.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  3783716	       149.0 ns/op	 228.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  4098064	       197.2 ns/op	 172.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      223	   2581847 ns/op	 104.73 MB/s	      24 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      224	   2617408 ns/op	 103.31 MB/s	      24 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      180	   3062382 ns/op	  88.30 MB/s	      30 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      157	   4013704 ns/op	  67.37 MB/s	      35 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      193	   3374597 ns/op	  80.13 MB/s	      28 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      124	   4977705 ns/op	  54.32 MB/s	      44 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      182	   3627024 ns/op	  74.55 MB/s	      30 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      150	   3616407 ns/op	  74.77 MB/s	      37 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      100	   7195461 ns/op	  37.58 MB/s	      55 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      206	   2760995 ns/op	  97.94 MB/s	      26 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      126	   4686316 ns/op	  57.70 MB/s	      44 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      134	   4520306 ns/op	  59.82 MB/s	      41 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      168	   3193061 ns/op	  84.68 MB/s	      33 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      237	   2597093 ns/op	 104.12 MB/s	      23 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      231	   2546117 ns/op	 106.20 MB/s	      24 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      204	   2825846 ns/op	  95.69 MB/s	      27 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      217	   2657768 ns/op	 101.74 MB/s	      25 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      220	   2699087 ns/op	 100.18 MB/s	      25 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      231	   2623773 ns/op	 103.06 MB/s	      24 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      232	   2644672 ns/op	 102.24 MB/s	      23 B/op	       0 allocs/op
