BenchmarkJSON/ASCII256/Unmarshal  3425592	       171.2 ns/op	1506.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2749887	       267.4 ns/op	 964.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1683950	       354.2 ns/op	 728.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2305387	       244.3 ns/op	1056.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2208985	       228.0 ns/op	1131.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3391734	       262.1 ns/op	 984.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3508228	       171.8 ns/op	1501.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3454093	       179.6 ns/op	1436.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1881729	       277.2 ns/op	 930.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3463917	       171.5 ns/op	1504.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1955044	       278.6 ns/op	 926.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1516239	       378.5 ns/op	 681.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1609796	       553.9 ns/op	 465.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2989946	       214.6 ns/op	1201.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2628464	       232.3 ns/op	1110.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3170248	       205.3 ns/op	1256.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3523058	       174.1 ns/op	1482.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3467074	       170.7 ns/op	1511.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3259252	       176.9 ns/op	1458.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2878323	       202.4 ns/op	1274.78 MB/s	       0 B/op	       0 allocs/op
