BenchmarkJSON/ASCII256/Unmarshal  3504909	       184.5 ns/op	1398.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3365864	       199.3 ns/op	1294.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2691110	       199.2 ns/op	1295.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2585644	       228.1 ns/op	1131.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3297492	       178.1 ns/op	1448.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3371211	       172.0 ns/op	1499.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2635144	       218.2 ns/op	1182.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3598027	       171.4 ns/op	1505.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3530947	       171.1 ns/op	1508.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3504927	       165.9 ns/op	1555.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1457181	       378.1 ns/op	 682.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3590324	       199.2 ns/op	1295.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2165397	       285.6 ns/op	 903.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2711391	       197.4 ns/op	1306.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1629054	       356.5 ns/op	 723.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3102273	       228.5 ns/op	1128.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3573427	       172.7 ns/op	1493.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3579477	       175.9 ns/op	1466.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  3805898	       168.1 ns/op	1534.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1999344	       304.5 ns/op	 847.36 MB/s	       0 B/op	       0 allocs/op
