BenchmarkJSON/Small/Unmarshal   277606	       912.5 ns/op	  73.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   282247	       898.5 ns/op	  74.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   271740	       903.4 ns/op	  74.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   222094	       951.8 ns/op	  70.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   277939	       941.4 ns/op	  71.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   281605	       880.9 ns/op	  76.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   247773	       907.3 ns/op	  73.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   217988	       988.7 ns/op	  67.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   166669	      1330 ns/op	  50.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   224665	       950.0 ns/op	  70.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1674435	       145.9 ns/op	  68.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1551511	       150.0 ns/op	  66.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1591214	       146.5 ns/op	  68.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1690632	       140.3 ns/op	  71.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal   714626	       308.1 ns/op	  32.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal   950248	       238.4 ns/op	  41.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1561962	       152.8 ns/op	  65.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1628836	       144.0 ns/op	  69.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1664280	       138.7 ns/op	  72.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1750933	       143.9 ns/op	  69.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1352373	       167.1 ns/op	 203.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1389188	       166.0 ns/op	 204.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1600438	       146.0 ns/op	 232.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1729440	       137.2 ns/op	 247.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1655785	       142.0 ns/op	 239.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1618549	       148.1 ns/op	 229.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1600606	       153.7 ns/op	 221.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1689115	       139.9 ns/op	 242.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1745258	       138.8 ns/op	 245.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1731327	       137.7 ns/op	 246.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1448954	       172.0 ns/op	1499.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1443147	       165.8 ns/op	1555.67 MB/s	       0 B/op	       0 allocs/op
