BenchmarkJSON/Small/Unmarshal   263676	       895.2 ns/op	  74.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   268476	       913.8 ns/op	  73.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   262250	       903.1 ns/op	  74.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   288400	       937.1 ns/op	  71.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   232988	       922.5 ns/op	  72.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   282451	       965.6 ns/op	  69.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   279895	       859.3 ns/op	  77.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   272985	       916.9 ns/op	  73.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   275698	       920.4 ns/op	  72.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   265412	      1009 ns/op	  66.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1667430	       152.5 ns/op	  65.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1000000	       247.0 ns/op	  40.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal   974088	       283.1 ns/op	  35.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1212903	       225.8 ns/op	  44.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1567357	       150.6 ns/op	  66.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1000000	       229.6 ns/op	  43.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1647060	       157.7 ns/op	  63.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1585456	       145.8 ns/op	  68.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1574066	       160.0 ns/op	  62.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1808762	       131.8 ns/op	  75.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1564899	       183.9 ns/op	 184.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1228258	       219.6 ns/op	 154.81 MB/s	       0 B/op	       0 allocs/op
