BenchmarkJSON/Small/Marshal   415785	       529.9 ns/op	 126.43 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   340759	       602.6 ns/op	 111.19 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   465285	       514.8 ns/op	 130.16 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   394714	       697.8 ns/op	  96.01 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   500008	       511.1 ns/op	 131.09 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   261457	       861.6 ns/op	  77.76 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   485524	       539.8 ns/op	 124.12 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   271186	       956.7 ns/op	  70.04 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   348018	       677.9 ns/op	  98.83 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   430310	       554.4 ns/op	 120.85 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1586332	       140.3 ns/op	  71.27 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1509418	       190.0 ns/op	  52.62 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1522053	       188.8 ns/op	  52.96 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1000000	       208.9 ns/op	  47.88 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1943572	       120.6 ns/op	  82.93 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1000000	       210.9 ns/op	  47.43 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1982960	       118.9 ns/op	  84.14 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1936473	       128.8 ns/op	  77.67 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1341091	       202.9 ns/op	  49.28 MB/s	      16 B/op	       1 allocs/op
