BenchmarkJSON/Small/Marshal   344982	       588.3 ns/op	 113.89 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   446247	       526.4 ns/op	 127.28 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   390418	       588.2 ns/op	 113.90 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   471927	       632.8 ns/op	 105.88 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   379423	       613.6 ns/op	 109.19 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   497161	       540.2 ns/op	 124.02 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   272275	       914.4 ns/op	  73.28 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   450876	       556.8 ns/op	 120.32 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   297890	       736.8 ns/op	  90.93 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   363571	       912.5 ns/op	  73.42 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1606384	       147.9 ns/op	  67.62 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2038430	       121.1 ns/op	  82.60 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1000000	       223.2 ns/op	  44.80 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal   959596	       240.0 ns/op	  41.66 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1852862	       136.6 ns/op	  73.23 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1000000	       234.0 ns/op	  42.73 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1961872	       119.2 ns/op	  83.86 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1931874	       128.5 ns/op	  77.81 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1862290	       123.2 ns/op	  81.17 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  1683038	       138.1 ns/op	  72.42 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal   964423	       318.5 ns/op	 106.75 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  1749717	       141.0 ns/op	 241.18 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  1563014	       154.3 ns/op	 220.42 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  1782702	       134.8 ns/op	 252.26 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal   954241	       219.7 ns/op	 154.73 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  1624225	       150.0 ns/op	 226.60 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  1622539	       186.8 ns/op	 181.98 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  1604137	       147.8 ns/op	 230.04 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  1642382	       167.6 ns/op	 202.89 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII32/Marshal  1513513	       149.4 ns/op	 227.55 MB/s	      48 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   632308	       377.4 ns/op	 683.56 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1106440	       210.9 ns/op	1223.13 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1108659	       210.8 ns/op	1224.12 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   866292	       242.1 ns/op	1065.81 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   690694	       319.5 ns/op	 807.41 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1123011	       213.0 ns/op	1211.43 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1016482	       215.0 ns/op	1200.05 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   878505	       286.6 ns/op	 900.26 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   562454	      1150 ns/op	 224.36 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   753026	       297.5 ns/op	 867.26 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   211100	      1221 ns/op	3357.46 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   133394	      1599 ns/op	2562.54 MB/s	    4864 B/op	       1 allocs/op
