BenchmarkJSON/Small/Unmarshal   219253	       917.0 ns/op	  73.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   259909	       962.7 ns/op	  69.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   275728	       908.5 ns/op	  73.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   296983	       860.6 ns/op	  77.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   219859	      1040 ns/op	  64.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   224101	       937.5 ns/op	  71.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   273436	       867.0 ns/op	  77.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   283641	       871.6 ns/op	  76.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   228085	       957.3 ns/op	  69.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   244966	       853.0 ns/op	  78.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1702634	       148.7 ns/op	  67.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1840741	       132.1 ns/op	  75.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal   961281	       362.1 ns/op	  27.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1433166	       157.2 ns/op	  63.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1416421	       163.7 ns/op	  61.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1621634	       147.6 ns/op	  67.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1376371	       189.3 ns/op	  52.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1720689	       151.8 ns/op	  65.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1000000	       958.9 ns/op	  10.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1775788	       133.8 ns/op	  74.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1407654	       162.3 ns/op	 209.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1658338	       143.4 ns/op	 237.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1501675	       161.3 ns/op	 210.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1675516	       149.2 ns/op	 227.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1504718	       152.9 ns/op	 222.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1446517	       163.8 ns/op	 207.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1391126	       162.5 ns/op	 209.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1768550	       137.1 ns/op	 247.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1693898	       142.2 ns/op	 239.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII32/Unmarshal  1506044	       151.6 ns/op	 224.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1380838	       172.0 ns/op	1499.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1509792	       163.2 ns/op	1580.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1423395	       167.3 ns/op	1542.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1356326	       210.2 ns/op	1227.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1277234	       180.4 ns/op	1429.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1333179	       175.2 ns/op	1472.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1421443	       170.8 ns/op	1510.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1000000	       218.3 ns/op	1182.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1487850	       162.2 ns/op	1590.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1442307	       166.0 ns/op	1553.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   108088	      2032 ns/op	2017.03 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   162030	      1389 ns/op	2949.38 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   156532	      1452 ns/op	2822.03 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   176590	      1331 ns/op	3080.01 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   165838	      1422 ns/op	2882.49 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   132133	      2626 ns/op	1560.78 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   156037	      1396 ns/op	2934.77 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   143650	      1412 ns/op	2903.06 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   190131	      1254 ns/op	3266.69 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   109572	      1886 ns/op	2172.63 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    39099	      7009 ns/op	 589.23 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    36312	      7623 ns/op	 541.78 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    38360	      6670 ns/op	 619.20 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    38337	      6107 ns/op	 676.28 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    31309	      7139 ns/op	 578.52 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    31387	      7930 ns/op	 520.83 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    22618	      9949 ns/op	 415.12 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    36594	      6201 ns/op	 666.02 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    20840	     11223 ns/op	 367.99 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/EscapeRuns/Unmarshal    38203	      6461 ns/op	 639.23 MB/s	    9728 B/op	       2 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    68726	      3103 ns/op	1336.10 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   122364	      1947 ns/op	2128.96 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   115700	      2022 ns/op	2050.66 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   123816	      1929 ns/op	2149.39 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    72740	      3652 ns/op	1135.30 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    76108	      2669 ns/op	1553.51 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   128408	      1907 ns/op	2174.54 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   100940	      2509 ns/op	1652.38 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   102801	      2339 ns/op	1772.47 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    75651	      3754 ns/op	1104.40 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  14513216 ns/op	 133.70 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  15567579 ns/op	 124.65 MB/s	  390476 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  16500019 ns/op	 117.60 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       16	  17069512 ns/op	 113.68 MB/s	  390447 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       14	  15638717 ns/op	 124.08 MB/s	  390509 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       16	  18096405 ns/op	 107.23 MB/s	  390446 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  15662543 ns/op	 123.89 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  15449586 ns/op	 125.60 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       14	  14421385 ns/op	 134.56 MB/s	  390508 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  14430657 ns/op	 134.47 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      584	    402671 ns/op	 104.46 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      597	    394592 ns/op	 106.60 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      577	    421496 ns/op	  99.79 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      606	    396740 ns/op	 106.02 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      542	    414386 ns/op	 101.50 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      462	    441401 ns/op	  95.29 MB/s	   59587 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      571	    423123 ns/op	  99.41 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      576	    425394 ns/op	  98.88 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      574	    423728 ns/op	  99.27 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      594	    419448 ns/op	 100.28 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2884	     88056 ns/op	 205.82 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3344	     80678 ns/op	 224.65 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2665	     82248 ns/op	 220.36 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3010	     78582 ns/op	 230.64 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3291	     86379 ns/op	 209.82 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2973	     79684 ns/op	 227.45 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2788	     85623 ns/op	 211.67 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3096	     79787 ns/op	 227.16 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3225	     84247 ns/op	 215.13 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2851	     83756 ns/op	 216.39 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       80	   3209582 ns/op	 196.76 MB/s	  209391 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       81	   2998000 ns/op	 210.65 MB/s	  209390 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       86	   3138894 ns/op	 201.19 MB/s	  209386 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       73	   2979758 ns/op	 211.93 MB/s	  209399 B/op	    2531 allocs/op
