BenchmarkJSON/Small/Unmarshal   280290	       859.2 ns/op	  77.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   277508	       857.1 ns/op	  78.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   280626	       858.9 ns/op	  78.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   232508	       861.8 ns/op	  77.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   286414	       855.7 ns/op	  78.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   232466	       902.6 ns/op	  74.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   238662	       961.9 ns/op	  69.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   276475	       910.5 ns/op	  73.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   270283	       884.8 ns/op	  75.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   273494	       856.8 ns/op	  78.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1225483	       183.8 ns/op	  54.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1432540	       162.2 ns/op	  61.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1708728	       138.0 ns/op	  72.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1721901	       139.1 ns/op	  71.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1171857	       183.4 ns/op	  54.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1726218	       140.7 ns/op	  71.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal   829113	       257.0 ns/op	  38.91 MB/s	       0 B/op	       0 allocs/op
