BenchmarkJSON/Small/Unmarshal   336924	      1717 ns/op	  39.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   258850	      1208 ns/op	  55.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   342858	      1020 ns/op	  65.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   353666	      1276 ns/op	  52.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   353425	       852.6 ns/op	  78.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   441454	       914.7 ns/op	  73.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   369736	       916.4 ns/op	  73.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   398343	       887.7 ns/op	  75.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   139798	      2342 ns/op	  28.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   405189	       919.0 ns/op	  72.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2316142	       142.5 ns/op	  70.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2441083	       140.7 ns/op	  71.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2655500	       138.0 ns/op	  72.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2570176	       138.4 ns/op	  72.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2594420	       140.4 ns/op	  71.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2534049	       147.3 ns/op	  67.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2509158	       139.0 ns/op	  71.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2469493	       139.3 ns/op	  71.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2645372	       139.6 ns/op	  71.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  1357892	       269.4 ns/op	  37.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1982023	       176.4 ns/op	1462.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2122608	       166.0 ns/op	1554.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2176207	       163.7 ns/op	1576.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2278338	       161.9 ns/op	1593.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2229618	       163.7 ns/op	1576.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2180334	       177.7 ns/op	1451.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2103468	       167.2 ns/op	1542.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2261326	       160.2 ns/op	1610.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2255451	       162.7 ns/op	1585.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2007624	       170.3 ns/op	1515.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1920608	       189.7 ns/op	  63.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1886542	       188.1 ns/op	  63.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1865634	       183.8 ns/op	  65.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1947427	       186.8 ns/op	  64.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1848680	       185.3 ns/op	  64.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1943662	       180.7 ns/op	  66.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1975556	       175.3 ns/op	  68.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  2071111	       175.0 ns/op	  68.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  2030542	       182.9 ns/op	  65.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  2042997	       180.6 ns/op	  66.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    27826	     12014 ns/op	 596.81 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    26616	     13402 ns/op	 535.01 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    32103	     10764 ns/op	 666.09 MB/s	    8192 B/op	       1 allocs/op
