BenchmarkJSON/Small/Unmarshal   313426	      1049 ns/op	  63.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   398418	       904.3 ns/op	  74.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   351160	      1012 ns/op	  66.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   214053	      1778 ns/op	  37.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   278910	      1208 ns/op	  55.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal    87772	      3485 ns/op	  19.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   421828	       891.9 ns/op	  75.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   305414	      1395 ns/op	  48.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   407397	       899.3 ns/op	  74.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   397348	       994.6 ns/op	  67.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2520987	       167.8 ns/op	  59.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2689309	       136.0 ns/op	  73.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal   598893	      1715 ns/op	   5.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2618514	       141.4 ns/op	  70.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2669950	       141.8 ns/op	  70.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2616858	       137.7 ns/op	  72.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2591444	       139.4 ns/op	  71.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2409619	       157.0 ns/op	  63.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2594980	       146.2 ns/op	  68.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII8/Unmarshal  2651155	       139.5 ns/op	  71.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2235756	       160.8 ns/op	1604.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2199008	       161.9 ns/op	1593.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2042972	       171.7 ns/op	1502.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2059398	       168.0 ns/op	1536.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2144655	       167.4 ns/op	1541.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2110318	       172.0 ns/op	1499.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2145010	       176.3 ns/op	1463.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2068765	       172.3 ns/op	1497.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2120601	       165.9 ns/op	1554.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2107328	       166.2 ns/op	1552.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  2014708	       179.3 ns/op	  66.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1000000	       400.2 ns/op	  29.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1922620	       189.3 ns/op	  63.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1989924	       182.7 ns/op	  65.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  2127214	       169.8 ns/op	  70.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  2051798	       174.1 ns/op	  68.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1837605	       185.6 ns/op	  64.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1901232	       183.6 ns/op	  65.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  1569933	       274.4 ns/op	  43.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Short/Unmarshal  2024109	       173.1 ns/op	  69.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal     9112	     36547 ns/op	 196.19 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal     4230	     72620 ns/op	  98.73 MB/s	    8193 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal     7858	     43839 ns/op	 163.55 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    10270	     35143 ns/op	 204.02 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    10252	     35307 ns/op	 203.08 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    10000	     40716 ns/op	 176.10 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal     5025	     67589 ns/op	 106.08 MB/s	    8193 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    10263	     35073 ns/op	 204.43 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal     9884	     34939 ns/op	 205.22 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8Greek/Unmarshal    10276	     34620 ns/op	 207.11 MB/s	    8192 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    10000	     31873 ns/op	 265.12 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    10000	     32534 ns/op	 259.73 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    11673	     31276 ns/op	 270.18 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    10000	     30539 ns/op	 276.70 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    10000	     33046 ns/op	 255.70 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal     9516	     59305 ns/op	 142.48 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal     8776	     34472 ns/op	 245.13 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    10000	     34746 ns/op	 243.19 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    10000	     30161 ns/op	 280.16 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8CJK/Unmarshal    11712	     30741 ns/op	 274.87 MB/s	    9472 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    29640	     13256 ns/op	 309.13 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    28123	     13526 ns/op	 302.97 MB/s	    4096 B/op	       1 allocs/op
