BenchmarkJSON/Small/Marshal   704125	       512.2 ns/op	 130.80 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   704408	       524.9 ns/op	 127.65 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   652905	       547.6 ns/op	 122.35 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   746562	       532.0 ns/op	 125.95 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   635564	       515.6 ns/op	 129.94 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   714512	       500.5 ns/op	 133.86 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   687814	       524.9 ns/op	 127.63 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   705498	       530.6 ns/op	 126.27 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   704454	       505.5 ns/op	 132.53 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   723919	       494.9 ns/op	 135.38 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  3033876	       122.9 ns/op	  81.39 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2773430	       125.1 ns/op	  79.93 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2556739	       132.3 ns/op	  75.56 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2985754	       118.7 ns/op	  84.26 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2878333	       126.0 ns/op	  79.39 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2887870	       125.4 ns/op	  79.75 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2679344	       132.3 ns/op	  75.57 MB/s	      16 B/op	       1 allocs/op
