BenchmarkJSON/Small/Marshal   732824	       527.3 ns/op	 127.05 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   718243	       559.2 ns/op	 119.82 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   730206	       526.1 ns/op	 127.35 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   538588	       630.4 ns/op	 106.28 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   676740	       536.1 ns/op	 124.97 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   692401	       510.5 ns/op	 131.24 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   736939	       541.1 ns/op	 123.83 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   705133	       530.7 ns/op	 126.24 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   662456	       526.4 ns/op	 127.29 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   696259	       545.1 ns/op	 122.91 MB/s	      80 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2678247	       124.8 ns/op	  80.14 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2897794	       128.2 ns/op	  77.97 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2787324	       124.7 ns/op	  80.20 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2920096	       129.8 ns/op	  77.03 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2691448	       129.4 ns/op	  77.28 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2880537	       119.7 ns/op	  83.57 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2917068	       122.1 ns/op	  81.91 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2975522	       119.9 ns/op	  83.39 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2557696	       135.1 ns/op	  74.04 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII8/Marshal  2683018	       130.5 ns/op	  76.61 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1618380	       216.1 ns/op	1194.14 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1599764	       233.2 ns/op	1106.19 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1606034	       220.5 ns/op	1170.21 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1107318	       288.1 ns/op	 895.61 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1320432	       370.2 ns/op	 696.92 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1599769	       211.8 ns/op	1218.01 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal   617066	       527.6 ns/op	 489.05 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1638446	       227.3 ns/op	1134.90 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1441749	       235.1 ns/op	1097.48 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/ASCII256/Marshal  1649362	       216.2 ns/op	1193.29 MB/s	     288 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2586858	       135.5 ns/op	  88.57 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2726520	       131.6 ns/op	  91.20 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2428804	       141.0 ns/op	  85.11 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2488521	       141.8 ns/op	  84.63 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2583054	       156.6 ns/op	  76.61 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2400230	       147.5 ns/op	  81.35 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2410220	       149.7 ns/op	  80.16 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  1820845	       171.8 ns/op	  69.83 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2459533	       145.1 ns/op	  82.68 MB/s	      16 B/op	       1 allocs/op
BenchmarkJSON/UTF8Short/Marshal  2437717	       137.9 ns/op	  87.00 MB/s	      16 B/op	       1 allocs/op
